arm,jitter_std,jitter_iteration,k,tolerance,median_extra_arm,never_arm,mean_extra_arm,median_extra_ref,never_ref,mean_extra_ref
rep10,5.0,20,10,0.01,3.0,0.06,6.245,0.0,0.0,0.0
rep10,5.0,20,25,0.01,25.0,0.53,18.23,0.0,0.18,5.165
bundle,0.05,0,10,0.01,2.0,0.01,4.220000000000001,0.0,0.0,2.3400000000000007
bundle,0.05,0,25,0.01,9.0,0.1,11.37,1.0,0.1,6.17
bundle,0.05,20,10,0.01,2.0,0.0,3.9300000000000006,0.0,0.0,0.0
bundle,0.05,20,25,0.01,7.0,0.11,10.56,0.0,0.01,0.64
bundle,0.25,0,10,0.01,4.5,0.04,8.99,1.0,0.02,5.0200000000000005
bundle,0.25,0,25,0.01,16.0,0.3,16.689999999999998,4.0,0.25,10.26
bundle,0.25,20,10,0.01,2.0,0.0,4.069999999999999,0.0,0.0,0.0
bundle,0.25,20,25,0.01,10.0,0.24,12.81,0.0,0.04,1.13
bundle,1.0,0,10,0.01,11.5,0.15,15.34,5.0,0.21,13.81
bundle,1.0,0,25,0.01,28.0,0.51,23.47,27.0,0.56,22.19
bundle,1.0,20,10,0.01,2.0,0.02,4.430000000000001,0.0,0.0,0.0
bundle,1.0,20,25,0.01,12.0,0.36,15.819999999999997,0.0,0.06,1.97
bundle,5.0,0,10,0.01,34.0,0.38,24.090000000000003,26.0,0.46,22.42
bundle,5.0,0,25,0.01,30.0,0.75,28.9,31.0,0.84,28.390000000000004
bundle,5.0,20,10,0.01,2.0,0.06,5.65,0.0,0.0,0.0
bundle,5.0,20,25,0.01,25.0,0.51,17.619999999999997,0.0,0.15,4.28
rerate,0.05,0,10,0.01,0.0,0.02,2.555,0.0,0.01,2.5249999999999995
rerate,0.05,0,25,0.01,1.0,0.135,5.965000000000001,1.0,0.1,5.85
rerate,0.05,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
rerate,0.05,20,25,0.01,0.0,0.01,0.53,0.0,0.01,0.53
rerate,0.25,0,10,0.01,1.0,0.025,5.334999999999999,1.0,0.025,5.334999999999999
rerate,0.25,0,25,0.01,6.5,0.25,10.845,6.5,0.235,10.81
rerate,0.25,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
rerate,0.25,20,25,0.01,0.0,0.04,1.33,0.0,0.04,1.33
rerate,1.0,0,10,0.01,6.0,0.215,13.77,6.0,0.175,13.66
rerate,1.0,0,25,0.01,27.0,0.59,22.33,27.0,0.54,22.205
rerate,1.0,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
rerate,1.0,20,25,0.01,0.0,0.055,2.035,0.0,0.05,2.02
rerate,5.0,0,10,0.01,24.5,0.435,22.04,24.5,0.425,21.995
rerate,5.0,0,25,0.01,30.0,0.81,27.754999999999995,30.0,0.805,27.754999999999995
rerate,5.0,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
rerate,5.0,20,25,0.01,0.0,0.19,5.195,0.0,0.18,5.165
rerate-slip,0.01,0,10,0.01,1.0,0.025,4.47,1.0,0.045,4.52
rerate-slip,0.01,0,25,0.01,2.0,0.095,6.545,2.0,0.13,6.69
rerate-slip,0.01,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
rerate-slip,0.01,20,25,0.01,0.0,0.03,2.01,0.0,0.065,2.18
rerate-slip,0.05,0,10,0.01,3.0,0.05,7.600000000000001,3.0,0.07,7.665000000000001
rerate-slip,0.05,0,25,0.01,19.0,0.375,16.52,19.0,0.41,16.685
rerate-slip,0.05,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
rerate-slip,0.05,20,25,0.01,0.0,0.11,4.85,0.0,0.11,4.85
rerate-slip,0.15,0,10,0.01,8.0,0.175,13.910000000000002,8.0,0.185,13.945
rerate-slip,0.15,0,25,0.01,28.0,0.59,23.485,28.0,0.58,23.48
rerate-slip,0.15,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
rerate-slip,0.15,20,25,0.01,0.0,0.225,6.959999999999999,0.0,0.235,6.94
rerate-slip,0.4,0,10,0.01,35.0,0.46,24.085,35.0,0.465,24.115
rerate-slip,0.4,0,25,0.01,30.0,0.77,28.085,30.0,0.785,28.129999999999995
rerate-slip,0.4,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
rerate-slip,0.4,20,25,0.01,0.0,0.28,7.715000000000001,0.0,0.28,7.715000000000001
nigp,0.01,0,10,0.01,1.0,0.05,4.135,1.0,0.045,4.52
nigp,0.01,0,25,0.01,1.0,0.145,6.275,2.0,0.13,6.69
nigp,0.01,20,10,0.01,0.0,0.01,1.14,0.0,0.0,0.0
nigp,0.01,20,25,0.01,0.0,0.08,4.300000000000001,0.0,0.065,2.18
nigp,0.05,0,10,0.01,3.0,0.085,7.650000000000003,3.0,0.07,7.665000000000001
nigp,0.05,0,25,0.01,13.0,0.36,14.544999999999998,19.0,0.41,16.685
nigp,0.05,20,10,0.01,0.0,0.015,2.38,0.0,0.0,0.0
nigp,0.05,20,25,0.01,1.0,0.22,8.09,0.0,0.11,4.85
nigp,0.15,0,10,0.01,8.0,0.24,14.94,8.0,0.185,13.945
nigp,0.15,0,25,0.01,28.0,0.61,22.71,28.0,0.58,23.48
nigp,0.15,20,10,0.01,0.0,0.045,4.995,0.0,0.0,0.0
nigp,0.15,20,25,0.01,15.5,0.445,14.249999999999996,0.0,0.235,6.94
nigp,0.4,0,10,0.01,30.0,0.43,23.925000000000004,35.0,0.465,24.115
nigp,0.4,0,25,0.01,29.0,0.71,26.78,30.0,0.785,28.129999999999995
nigp,0.4,20,10,0.01,1.0,0.215,11.335,0.0,0.0,0.0
nigp,0.4,20,25,0.01,27.0,0.615,19.535,0.0,0.28,7.715000000000001
studentt,0.01,0,10,0.01,0.0,0.0,1.4,0.0,0.0,0.0
studentt,0.01,0,25,0.01,0.5,0.115,4.49,0.0,0.025,1.06
studentt,0.01,20,10,0.01,0.0,0.0,1.3199999999999998,0.0,0.0,0.0
studentt,0.01,20,25,0.01,0.0,0.09,3.7400000000000007,0.0,0.0,0.0
studentt,0.05,0,10,0.01,0.0,0.01,2.8999999999999995,0.0,0.03,2.73
studentt,0.05,0,25,0.01,2.0,0.17,7.394999999999999,0.0,0.155,6.654999999999999
studentt,0.05,20,10,0.01,0.0,0.01,1.455,0.0,0.0,0.0
studentt,0.05,20,25,0.01,0.0,0.125,4.36,0.0,0.01,0.51
studentt,0.15,0,10,0.01,1.0,0.09,7.63,1.0,0.105,7.185
studentt,0.15,0,25,0.01,13.0,0.335,14.145,10.0,0.355,14.495
studentt,0.15,20,10,0.01,0.0,0.005,1.4300000000000002,0.0,0.0,0.0
studentt,0.15,20,25,0.01,0.0,0.145,5.105,0.0,0.04,1.995
studentt,0.4,0,10,0.01,8.0,0.235,16.205000000000002,8.0,0.28,16.135
studentt,0.4,0,25,0.01,28.0,0.605,23.115,28.0,0.645,23.225
studentt,0.4,20,10,0.01,0.0,0.01,1.345,0.0,0.0,0.0
studentt,0.4,20,25,0.01,1.0,0.235,6.835000000000001,0.0,0.145,4.244999999999999
idea-anchor-gaussian,0.05,0,10,0.01,0.0,0.005,2.4799999999999995,0.0,0.01,2.5249999999999995
idea-anchor-gaussian,0.05,0,25,0.01,2.0,0.135,6.15,1.0,0.1,5.85
idea-anchor-gaussian,0.05,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
idea-anchor-gaussian,0.05,20,25,0.01,0.0,0.015,0.8,0.0,0.01,0.53
idea-anchor-gaussian,0.25,0,10,0.01,2.0,0.06,7.510000000000001,1.0,0.025,5.334999999999999
idea-anchor-gaussian,0.25,0,25,0.01,13.0,0.3,14.835,6.5,0.235,10.81
idea-anchor-gaussian,0.25,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
idea-anchor-gaussian,0.25,20,25,0.01,0.0,0.025,1.91,0.0,0.04,1.33
idea-anchor-gaussian,1.0,0,10,0.01,9.0,0.265,16.33,6.0,0.175,13.66
idea-anchor-gaussian,1.0,0,25,0.01,28.5,0.655,23.550000000000004,27.0,0.54,22.205
idea-anchor-gaussian,1.0,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
idea-anchor-gaussian,1.0,20,25,0.01,0.0,0.1,3.095,0.0,0.05,2.02
idea-anchor-gaussian,5.0,0,10,0.01,34.0,0.465,23.640000000000004,24.5,0.425,21.995
idea-anchor-gaussian,5.0,0,25,0.01,30.0,0.81,28.329999999999995,30.0,0.805,27.754999999999995
idea-anchor-gaussian,5.0,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
idea-anchor-gaussian,5.0,20,25,0.01,0.0,0.195,5.455,0.0,0.18,5.165
idea-anchor-drift,0.05,0,10,0.01,0.0,0.005,2.43,0.0,0.01,2.685
idea-anchor-drift,0.05,0,25,0.01,0.0,0.115,5.115,1.0,0.12,5.68
idea-anchor-drift,0.05,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
idea-anchor-drift,0.05,20,25,0.01,0.0,0.02,1.0100000000000002,0.0,0.005,0.445
idea-anchor-drift,0.25,0,10,0.01,1.0,0.05,6.01,0.5,0.035,5.1850000000000005
idea-anchor-drift,0.25,0,25,0.01,11.0,0.28,12.960000000000004,6.5,0.215,10.5
idea-anchor-drift,0.25,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
idea-anchor-drift,0.25,20,25,0.01,0.0,0.015,1.505,0.0,0.01,0.9999999999999998
idea-anchor-drift,1.0,0,10,0.01,11.5,0.245,17.52,5.0,0.18,13.31
idea-anchor-drift,1.0,0,25,0.01,29.0,0.61,24.130000000000003,26.0,0.515,21.33
idea-anchor-drift,1.0,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
idea-anchor-drift,1.0,20,25,0.01,0.0,0.105,3.5050000000000003,0.0,0.09,2.88
idea-anchor-drift,5.0,0,10,0.01,21.0,0.395,21.185,24.0,0.44,22.215000000000003
idea-anchor-drift,5.0,0,25,0.01,30.0,0.775,27.665,30.0,0.78,27.36
idea-anchor-drift,5.0,20,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0
idea-anchor-drift,5.0,20,25,0.01,0.0,0.195,5.279999999999999,0.0,0.17,4.99
idea-selfreport,0.05,0,10,0.01,0.0,0.015,2.09,0.0,0.01,2.5249999999999995
idea-selfreport,0.05,0,25,0.01,1.0,0.06,4.380000000000001,1.0,0.1,5.85
idea-selfreport,0.05,20,10,0.01,0.0,0.01,2.1750000000000003,0.0,0.0,0.0
idea-selfreport,0.05,20,25,0.01,0.0,0.065,3.81,0.0,0.01,0.53
idea-selfreport,0.25,0,10,0.01,1.0,0.01,4.029999999999999,1.0,0.025,5.334999999999999
idea-selfreport,0.25,0,25,0.01,5.0,0.12,8.075,6.5,0.235,10.81
idea-selfreport,0.25,20,10,0.01,0.0,0.005,1.975,0.0,0.0,0.0
idea-selfreport,0.25,20,25,0.01,0.0,0.065,4.025,0.0,0.04,1.33
idea-selfreport,1.0,0,10,0.01,4.0,0.07,8.319999999999999,6.0,0.175,13.66
idea-selfreport,1.0,0,25,0.01,15.5,0.325,16.13,27.0,0.54,22.205
idea-selfreport,1.0,20,10,0.01,0.0,0.005,2.08,0.0,0.0,0.0
idea-selfreport,1.0,20,25,0.01,0.0,0.09,4.99,0.0,0.05,2.02
idea-selfreport,5.0,0,10,0.01,16.0,0.335,19.64,24.5,0.425,21.995
idea-selfreport,5.0,0,25,0.01,28.0,0.645,24.045,30.0,0.805,27.754999999999995
idea-selfreport,5.0,20,10,0.01,0.0,0.03,2.575,0.0,0.0,0.0
idea-selfreport,5.0,20,25,0.01,0.0,0.26,7.674999999999999,0.0,0.18,5.165
idea-selfreport-heldout,0.05,0,10,0.01,0.0,0.005,2.265,0.0,0.0,2.115
idea-selfreport-heldout,0.05,0,25,0.01,1.0,0.065,4.0,1.0,0.1,5.209999999999999
idea-selfreport-heldout,0.05,20,10,0.01,0.0,0.01,2.215,0.0,0.0,0.0
idea-selfreport-heldout,0.05,20,25,0.01,0.0,0.055,2.6049999999999995,0.0,0.02,0.96
idea-selfreport-heldout,0.25,0,10,0.01,0.5,0.02,3.77,1.0,0.02,4.37
idea-selfreport-heldout,0.25,0,25,0.01,4.0,0.125,7.425,4.0,0.18,8.315
idea-selfreport-heldout,0.25,20,10,0.01,0.0,0.015,2.26,0.0,0.0,0.0
idea-selfreport-heldout,0.25,20,25,0.01,0.0,0.08,3.0,0.0,0.05,2.3200000000000003
idea-selfreport-heldout,1.0,0,10,0.01,5.0,0.075,10.135000000000002,10.0,0.225,16.0
idea-selfreport-heldout,1.0,0,25,0.01,19.5,0.325,16.625,26.0,0.51,21.54
idea-selfreport-heldout,1.0,20,10,0.01,0.0,0.01,2.33,0.0,0.0,0.0
idea-selfreport-heldout,1.0,20,25,0.01,0.0,0.105,4.04,0.0,0.095,3.8850000000000007
idea-selfreport-heldout,5.0,0,10,0.01,14.0,0.37,19.275,21.5,0.41,21.79
idea-selfreport-heldout,5.0,0,25,0.01,28.0,0.67,23.91,29.5,0.77,27.93
idea-selfreport-heldout,5.0,20,10,0.01,0.0,0.015,2.36,0.0,0.0,0.0
idea-selfreport-heldout,5.0,20,25,0.01,0.0,0.185,5.73,0.0,0.21,6.459999999999999
idea-selfreport-r0.6,0.25,0,10,0.01,1.0,0.045,4.765,1.0,0.025,5.334999999999999
idea-selfreport-r0.6,0.25,0,25,0.01,5.0,0.185,9.89,6.5,0.235,10.81
idea-selfreport-r0.6,1.0,0,10,0.01,3.0,0.115,10.205,6.0,0.175,13.66
idea-selfreport-r0.6,1.0,0,25,0.01,24.0,0.43,18.61,27.0,0.54,22.205
idea-selfreport-r0.3,0.25,0,10,0.01,0.5,0.03,5.115,1.0,0.025,5.334999999999999
idea-selfreport-r0.3,0.25,0,25,0.01,7.0,0.195,10.55,6.5,0.235,10.81
idea-selfreport-r0.3,1.0,0,10,0.01,4.0,0.205,13.605,6.0,0.175,13.66
idea-selfreport-r0.3,1.0,0,25,0.01,27.5,0.57,21.02,27.0,0.54,22.205
idea-selfreport-r0,0.25,0,10,0.01,1.0,0.1,7.045,1.0,0.025,5.334999999999999
idea-selfreport-r0,0.25,0,25,0.01,4.5,0.305,11.775000000000002,6.5,0.235,10.81
idea-selfreport-r0,1.0,0,10,0.01,5.0,0.235,14.365,6.0,0.175,13.66
idea-selfreport-r0,1.0,0,25,0.01,27.0,0.58,21.495,27.0,0.54,22.205
idea-anchors-gaussian,0.05,0,10,0.01,0.0,0.01,2.5200000000000005,0.0,0.01,2.5249999999999995
idea-anchors-gaussian,0.05,0,25,0.01,2.0,0.1,6.005,1.0,0.1,5.85
idea-anchors-gaussian,0.05,20,10,0.01,0.0,0.0,0.5599999999999998,0.0,0.0,0.0
idea-anchors-gaussian,0.05,20,25,0.01,1.0,0.09,4.475,0.0,0.01,0.53
idea-anchors-gaussian,0.25,0,10,0.01,1.0,0.045,5.59,1.0,0.025,5.334999999999999
idea-anchors-gaussian,0.25,0,25,0.01,10.0,0.22,12.305,6.5,0.235,10.81
idea-anchors-gaussian,0.25,20,10,0.01,0.0,0.0,0.5849999999999999,0.0,0.0,0.0
idea-anchors-gaussian,0.25,20,25,0.01,1.0,0.1,5.625,0.0,0.04,1.33
idea-anchors-gaussian,1.0,0,10,0.01,7.0,0.165,13.035,6.0,0.175,13.66
idea-anchors-gaussian,1.0,0,25,0.01,27.5,0.57,22.440000000000005,27.0,0.54,22.205
idea-anchors-gaussian,1.0,20,10,0.01,0.0,0.0,0.4999999999999999,0.0,0.0,0.0
idea-anchors-gaussian,1.0,20,25,0.01,1.0,0.17,6.875,0.0,0.05,2.02
idea-anchors-gaussian,5.0,0,10,0.01,17.5,0.375,20.51,24.5,0.425,21.995
idea-anchors-gaussian,5.0,0,25,0.01,30.0,0.775,27.905,30.0,0.805,27.754999999999995
idea-anchors-gaussian,5.0,20,10,0.01,0.0,0.01,0.7249999999999999,0.0,0.0,0.0
idea-anchors-gaussian,5.0,20,25,0.01,1.0,0.28,8.425,0.0,0.18,5.165
idea-anchors-drift,0.05,0,10,0.01,0.0,0.005,2.915,0.0,0.01,2.685
idea-anchors-drift,0.05,0,25,0.01,2.0,0.095,6.365,1.0,0.12,5.68
idea-anchors-drift,0.05,20,10,0.01,0.0,0.0,0.4999999999999999,0.0,0.0,0.0
idea-anchors-drift,0.05,20,25,0.01,1.0,0.09,4.965,0.0,0.005,0.445
idea-anchors-drift,0.25,0,10,0.01,1.0,0.04,5.450000000000001,0.5,0.035,5.1850000000000005
idea-anchors-drift,0.25,0,25,0.01,7.5,0.245,11.335,6.5,0.215,10.5
idea-anchors-drift,0.25,20,10,0.01,0.0,0.0,0.5299999999999999,0.0,0.0,0.0
idea-anchors-drift,0.25,20,25,0.01,1.0,0.095,5.515000000000001,0.0,0.01,0.9999999999999998
idea-anchors-drift,1.0,0,10,0.01,6.5,0.185,13.97,5.0,0.18,13.31
idea-anchors-drift,1.0,0,25,0.01,27.0,0.545,22.5,26.0,0.515,21.33
idea-anchors-drift,1.0,20,10,0.01,0.0,0.0,0.5699999999999998,0.0,0.0,0.0
idea-anchors-drift,1.0,20,25,0.01,1.0,0.155,6.384999999999999,0.0,0.09,2.88
idea-anchors-drift,5.0,0,10,0.01,16.5,0.39,20.5,24.0,0.44,22.215000000000003
idea-anchors-drift,5.0,0,25,0.01,30.0,0.755,26.835,30.0,0.78,27.36
idea-anchors-drift,5.0,20,10,0.01,0.0,0.005,0.6399999999999999,0.0,0.0,0.0
idea-anchors-drift,5.0,20,25,0.01,1.0,0.28,8.155000000000001,0.0,0.17,4.99
idea-hold,0.05,0,10,0.01,3.0,0.01,4.8,0.0,0.01,2.5249999999999995
idea-hold,0.05,0,25,0.01,5.0,0.125,8.47,1.0,0.1,5.85
idea-hold,0.05,20,10,0.01,3.0,0.015,4.94,0.0,0.0,0.0
idea-hold,0.05,20,25,0.01,4.5,0.11,7.93,0.0,0.01,0.53
idea-hold,0.25,0,10,0.01,4.0,0.015,6.635,1.0,0.025,5.334999999999999
idea-hold,0.25,0,25,0.01,12.0,0.24,13.915,6.5,0.235,10.81
idea-hold,0.25,20,10,0.01,3.0,0.005,4.794999999999999,0.0,0.0,0.0
idea-hold,0.25,20,25,0.01,5.0,0.165,8.92,0.0,0.04,1.33
idea-hold,1.0,0,10,0.01,8.0,0.175,14.385,6.0,0.175,13.66
idea-hold,1.0,0,25,0.01,28.0,0.545,23.17,27.0,0.54,22.205
idea-hold,1.0,20,10,0.01,3.0,0.015,5.264999999999999,0.0,0.0,0.0
idea-hold,1.0,20,25,0.01,5.5,0.225,10.500000000000002,0.0,0.05,2.02
idea-hold,5.0,0,10,0.01,11.0,0.315,18.605,24.5,0.425,21.995
idea-hold,5.0,0,25,0.01,30.0,0.76,27.405,30.0,0.805,27.754999999999995
idea-hold,5.0,20,10,0.01,3.0,0.045,5.55,0.0,0.0,0.0
idea-hold,5.0,20,25,0.01,6.0,0.39,12.839999999999998,0.0,0.18,5.165
q-inclcb,0.05,0,10,0.01,3.0,0.145,10.885000000000002,0.0,0.005,2.585
q-inclcb,0.05,0,25,0.01,18.5,0.45,16.105,2.0,0.13,7.165000000000001
q-inclcb,0.05,20,10,0.01,2.0,0.01,4.215000000000001,0.0,0.0,0.0
q-inclcb,0.05,20,25,0.01,5.0,0.225,9.325,0.0,0.01,0.8200000000000001
q-inclcb,0.25,0,10,0.01,11.0,0.455,20.22,3.0,0.11,8.55
q-inclcb,0.25,0,25,0.01,26.0,0.635,21.62,14.0,0.43,15.4
q-inclcb,0.25,20,10,0.01,2.0,0.03,4.555000000000001,0.0,0.0,0.0
q-inclcb,0.25,20,25,0.01,5.5,0.36,11.59,0.0,0.08,2.705
q-inclcb,1.0,0,10,0.01,40.0,0.53,24.33,12.0,0.305,17.445
q-inclcb,1.0,0,25,0.01,29.0,0.77,26.105,27.5,0.695,24.67
q-inclcb,1.0,20,10,0.01,2.0,0.065,5.334999999999999,0.0,0.0,0.0
q-inclcb,1.0,20,25,0.01,7.0,0.41,12.475,0.0,0.14,4.58
q-inclcb,5.0,0,10,0.01,40.0,0.6,26.455,40.0,0.525,25.73
q-inclcb,5.0,0,25,0.01,30.0,0.875,28.755000000000003,30.0,0.855,28.285
q-inclcb,5.0,20,10,0.01,2.0,0.055,5.244999999999999,0.0,0.0,0.0
q-inclcb,5.0,20,25,0.01,9.0,0.465,13.73,0.0,0.215,6.205
sched-front10,1.0,0,10,0.01,4.0,0.13,11.915,6.0,0.175,13.66
sched-front10,1.0,0,25,0.01,26.0,0.46,20.135,27.0,0.54,22.205
sched-front10,5.0,0,10,0.01,18.5,0.385,20.975,24.5,0.425,21.995
sched-front10,5.0,0,25,0.01,30.0,0.8,27.65,30.0,0.805,27.754999999999995
sched-front20,1.0,0,10,0.01,4.0,0.14,12.37,6.0,0.175,13.66
sched-front20,1.0,0,25,0.01,27.0,0.52,21.485,27.0,0.54,22.205
sched-front20,5.0,0,10,0.01,20.0,0.385,20.955,24.5,0.425,21.995
sched-front20,5.0,0,25,0.01,29.0,0.715,26.33,30.0,0.805,27.754999999999995
sched-U,1.0,0,10,0.01,4.0,0.105,10.235,6.0,0.175,13.66
sched-U,1.0,0,25,0.01,26.5,0.5,20.84,27.0,0.54,22.205
sched-U,5.0,0,10,0.01,23.0,0.41,21.435,24.5,0.425,21.995
sched-U,5.0,0,25,0.01,30.0,0.785,27.7,30.0,0.805,27.754999999999995
sched-back10,1.0,0,10,0.01,8.0,0.185,14.62,6.0,0.175,13.66
sched-back10,1.0,0,25,0.01,28.0,0.565,23.35,27.0,0.54,22.205
sched-back10,5.0,0,10,0.01,31.0,0.475,22.815,24.5,0.425,21.995
sched-back10,5.0,0,25,0.01,30.0,0.78,27.875,30.0,0.805,27.754999999999995
q-mind,0.25,0,10,0.01,1.0,0.045,5.9350000000000005,1.0,0.05,6.180000000000001
q-mind,0.25,0,25,0.01,11.5,0.33,13.645,10.0,0.375,13.76
q-mind,0.25,20,10,0.01,0.0,0.035,3.175,0.0,0.0,0.0
q-mind,0.25,20,25,0.01,1.0,0.275,9.455000000000002,0.0,0.075,3.05
q-mind,1.0,0,10,0.01,7.0,0.18,13.59,8.5,0.265,15.895
q-mind,1.0,0,25,0.01,26.0,0.57,21.505,26.5,0.645,22.81
q-mind,1.0,20,10,0.01,0.0,0.02,2.8950000000000005,0.0,0.0,0.0
q-mind,1.0,20,25,0.01,1.0,0.31,10.11,0.0,0.13,3.88
q-mind,5.0,0,10,0.01,18.0,0.39,20.63,40.0,0.555,25.56
q-mind,5.0,0,25,0.01,29.0,0.755,26.465,30.0,0.865,28.615
q-mind,5.0,20,10,0.01,0.0,0.055,3.830000000000001,0.0,0.0,0.0
q-mind,5.0,20,25,0.01,2.0,0.375,11.56,0.0,0.215,6.289999999999999
q-iu-0.05,0.05,0,10,0.01,3.0,0.08,8.215,3.0,0.07,7.665000000000001
q-iu-0.05,0.05,0,25,0.01,15.0,0.35,15.214999999999998,19.0,0.41,16.685
