dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,acquisition,n_seeds,n_acquisitions,mean_rank,mean_rank_normalized,mean_rank_absolute,mean_auc_simple_regret_excess_true,median_auc_simple_regret_excess_true,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_win
ackley,value,exact,slip,20,0.05,random,5,8,2.6,0.2285714285714286,6.6,-0.03773202938950817,0.0,-0.00486876691506275,840.7230353600607,-0.07272097614949473,False
ackley,value,exact,slip,20,0.05,qnei,5,8,5.4,0.6285714285714287,4.0,60.273444819181705,62.17331751701056,2.0684852557906708,627.5334436511015,-5.646794922947324,False
ackley,value,exact,slip,20,0.05,ucb,5,8,5.6,0.6571428571428571,3.2,58.936559240136845,87.72859535655977,2.028399640441328,538.5277033010277,-4.459683140581509,False
ackley,value,exact,slip,20,0.05,ei,5,8,5.8,0.6857142857142857,3.6,70.23784955231531,59.11563201991646,2.408611582751063,583.1038440047599,5.670570119248984,False
ackley,value,exact,slip,20,0.05,logei,5,8,6.0,0.7142857142857143,3.0,41.21760351766561,91.114714648431,1.4105740274538725,553.8769070249364,5.353285811275031,False
ackley,value,exact,slip,20,0.05,qucb,5,8,6.0,0.7142857142857143,3.2,69.24845013826311,78.25646932293262,2.395107901675255,558.319912507781,4.681460358878676,False
ackley,value,exact,slip,20,0.15,random,5,8,1.9,0.12857142857142856,6.4,1.3504670433701222,0.0,0.045074557853153153,842.1112344328205,5.987732557164797,True
ackley,value,exact,slip,20,0.15,sobol,5,8,2.3,0.1857142857142857,7.4,-0.3620522279748684,0.0,-0.012299440537309182,885.0852430048492,-0.10030345831880538,False
ackley,value,exact,slip,20,0.15,pi,5,8,2.6,0.2285714285714286,5.0,4.627928649814931,-32.96727399690076,0.15958374654534282,714.8205915451194,21.68940319784451,False
ackley,value,exact,slip,20,0.15,ei,5,8,5.8,0.6857142857142857,4.2,162.37404205878693,184.5825592087608,5.58184681949113,675.2400365112314,20.922293711122506,False
ackley,value,exact,slip,20,0.15,qnei,5,8,5.8,0.6857142857142857,4.4,137.24632039420166,164.8779570992591,4.722722344584464,704.5063192261215,15.88973667694317,False
ackley,value,exact,slip,20,0.15,logei,5,8,5.8,0.6857142857142857,3.0,126.06013225567028,109.50879269468732,4.33705722313708,638.719435762941,16.019438370078184,False
ackley,value,exact,slip,20,0.15,ucb,5,8,5.8,0.6857142857142857,2.6,144.78779443720512,148.6069347112122,4.986611296233721,624.378938498096,14.440154547350602,False
ackley,value,exact,slip,20,0.15,qucb,5,8,6.0,0.7142857142857143,3.0,164.85930960683172,150.46153175409677,5.680904113562628,653.9307719763495,13.33652583890274,False
ackley,value,exact,slip,20,0.4,sobol,5,8,1.4,0.05714285714285713,6.8,-2.3694790457872386,0.0,-0.08170617399266149,883.0778161870367,3.906008415467505,True
