dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,acquisition,n_seeds,mean_response_l2_excess,median_response_l2_excess,mean_final_simple_regret_excess_true,median_final_simple_regret_excess_true,mean_auc_simple_regret_excess_true,median_auc_simple_regret_excess_true,std_auc_simple_regret_excess_true,ci95_low_auc_simple_regret_excess_true,ci95_high_auc_simple_regret_excess_true,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_final_inference_simple_regret_excess_true,acq_opt_failures
stevens,value,exact,slip,0,0.15,qucb,5,0.0,0.0,0.053222587985671845,0.0,10.27583401645208,6.765860530742291,11.63290625619253,2.512559563348997,20.39425404748502,0.20971089829494036,21.386870852438822,0.1498091901245906,0
stevens,value,exact,slip,0,0.15,random,5,0.0,0.0,-0.04218171855015122,0.014150902771883356,4.710507327040537,3.330872349801524,15.361909143739638,-6.432779563731674,18.309651562609034,0.09613280259266402,67.09554245682139,0.08070174523363352,0
stevens,value,exact,slip,0,0.15,sobol,5,0.0,0.0,-0.13508553583304064,-0.20269926916784664,-4.317460053916782,-7.4918318089802085,15.441757660379228,-15.95860733011871,7.966589856906538,-0.08811142967177106,50.578996480444246,0.09215802842935403,0
stevens,value,exact,slip,0,0.15,ucb,5,0.0,0.0,0.0,0.0,3.3658910406057374,3.976305464450885,2.7384530979598005,1.0210669962077656,5.18960345313682,0.06869165388991301,14.475745292811382,0.01757140430751116,0
stevens,value,exact,slip,0,0.4,ei,5,0.0,0.0,0.3581502455367489,0.0868265205785068,28.659945296351093,31.66200357146861,17.23350923952624,15.23880827402082,42.08108231868137,0.5848968427826754,40.15801030357744,1.0533041593482566,0
stevens,value,exact,slip,0,0.4,logei,5,0.0,0.0,0.09532348767004872,0.0555492605795033,14.714690055440434,12.439099911054832,11.829615114597155,6.583583993086395,25.047667366052252,0.3002997970498048,26.211647086629426,1.2600738074217945,0
stevens,value,exact,slip,0,0.4,pi,5,0.0,0.0,0.1963976720047383,0.2825996736086464,14.193866046275664,17.155788339472984,11.785787625644756,4.830843673588651,22.846325862326673,0.2896707356382789,28.48910694381322,0.9720980035696389,0
stevens,value,exact,slip,0,0.4,qnei,5,0.0,0.0,0.19417812680868085,0.2322999180663365,19.381808448544135,18.5213684266703,5.880651279344345,14.791811788384589,24.375436782433752,0.3955471111947782,30.829803883024976,0.7264511664773201,0
stevens,value,exact,slip,0,0.4,qucb,5,0.0,0.0,0.08553598991505158,0.0,15.299935542244654,18.27982807789996,16.657020231307833,2.5513231808753196,28.04854790361399,0.31224358249478884,26.410972378231396,0.33817852916408986,0
stevens,value,exact,slip,0,0.4,random,5,0.0,0.0,-0.49886489871910966,-0.5959293956682066,-10.869664243963657,-6.634729579446017,19.37693988807847,-25.153519225491774,3.907132696095934,-0.22182988252987057,51.515370885817205,0.6890201535739818,0
stevens,value,exact,slip,0,0.4,sobol,5,0.0,0.0,-0.31099858699741273,-0.40735715952550455,-10.906852758968544,-12.941469605003661,14.617255869592181,-19.759403674913152,1.720748566701109,-0.22258883181568462,43.98960377539249,0.3986209967787818,0
stevens,value,exact,slip,0,0.4,ucb,5,0.0,0.0,0.051835490700116595,0.0,14.028674283678304,17.076674713113793,11.30837590179711,4.830830570951383,21.623588411905097,0.28629947517710824,25.13852853588395,0.24808525611091667,0
stevens,value,exact,slip,20,0.01,ei,5,-0.21167401432482885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.49806500722634,0.0,0
stevens,value,exact,slip,20,0.01,logei,5,-0.020722788358834388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.496957031188993,0.0,0
stevens,value,exact,slip,20,0.01,pi,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.295240897537559,0.0,0
stevens,value,exact,slip,20,0.01,qnei,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.447995434480841,0.0,0
stevens,value,exact,slip,20,0.01,qucb,5,-4.136811705726107e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111036835986742,0.0,0
stevens,value,exact,slip,20,0.01,random,5,0.0,0.0,-0.00404682704312318,0.0,-0.3174073795789013,0.0,0.5443007078551273,-0.8201678724745818,0.0,-0.010945082054444865,62.067627750201964,0.0,0
stevens,value,exact,slip,20,0.01,sobol,5,0.0,0.0,-0.008520680129974067,0.0,-0.37769239798578835,0.0,0.5951653033119552,-0.9219982040379705,0.0,-0.013023875792613483,54.51876413637524,0.0,0
stevens,value,exact,slip,20,0.01,ucb,5,-0.0011846400817283388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.109854252205647,0.0,0
