iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
25,405.5271051049735,-339.899821805367,243.12449634648948,320.96220628205936,0.76409804283672,0.76409804283672,0.76409804283672,0.0,False,True,0.0,logei,0.6532639999641106,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,3.5642923289421318,88.35973598859164,1.3984184141769678,3.5343894395436655,2.929971957601884,1.3984184141769678,schwefel
26,404.07893676874227,119.59174627239494,156.4242575481799,49.5000038483685,0.7461445905096095,0.7461445905096095,0.7461445905096095,0.0,False,True,0.0,logei,0.35971749998861924,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,3.5822457812692425,91.94198176986087,1.3984184141769678,3.536230068071572,2.929971957601884,1.3984184141769678,schwefel
27,406.44655447095386,-227.34873324975203,169.55488685962462,237.77100211230294,1.0355443458365023,1.0355443458365023,1.0355443458365023,0.0,False,True,0.0,logei,0.29728440003236756,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,3.2928460259423495,95.23482779580323,1.3984184141769678,3.5272158442890085,2.929971957601884,1.3984184141769678,schwefel
28,400.6671747120291,-221.7751551311443,-53.08781763340566,437.1495972593593,1.4162238355992431,,1.4162238355992431,0.0,False,True,,logei,0.3613842999911867,False,True,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,2.9121665361796087,98.14699433198284,1.3984184141769678,3.5052497975708157,2.929971957601884,1.3984184141769678,schwefel
29,400.66797966253546,-221.77398724218216,-53.09601189282124,437.1781724699618,1.4158648005689185,,1.4158648005689185,0.0,False,True,,logei,0.26143740001134574,False,True,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,2.912525571209933,101.05951990319278,1.3984184141769678,3.4848110311445786,2.929971957601884,1.3984184141769678,schwefel
30,400.66748364355504,-221.77920285115522,-53.100860426908106,437.16336875764574,1.4160361767959024,1.4160361767959024,1.4160361767959024,0.0,False,True,0.0,logei,0.38199160003568977,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,2.9123541949829495,103.97187409817573,1.3984184141769678,3.465729136605858,2.929971957601884,1.3984184141769678,schwefel
31,404.34460055055274,-240.6021176568744,41.79108347545048,-197.9236232864833,0.3819825913563728,0.3819825913563728,0.3819825913563728,0.0,False,True,0.0,logei,0.36035610001999885,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,3.9464077804224793,107.91828187859821,1.3984184141769678,3.48123489930962,2.929971957601884,1.3984184141769678,schwefel
32,401.9444928126852,-197.9083663152183,-78.47141881873212,283.5811296852119,-0.3144742905077399,-0.3144742905077399,-0.3144742905077399,0.0,False,True,0.0,logei,0.3382566000218503,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,4.642864662286592,112.5611465408848,1.3984184141769678,3.51753582940265,2.929971957601884,1.3984184141769678,schwefel
33,375.38459746203773,-139.62944792705508,136.60246622749017,500.0,-0.00607383601673605,,-0.00607383601673605,0.0,False,True,,logei,0.36375129997031763,False,True,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,4.3344642077955875,116.8956107486804,1.3984184141769678,3.5422912348084967,2.929971957601884,1.3984184141769678,schwefel
34,375.3858132089559,-139.61320761383934,136.60186932539466,500.0,-0.005897826178544546,,-0.005897826178544546,0.0,False,True,,logei,0.2298560999915935,False,True,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,4.334288197957396,121.22989894663779,1.3984184141769678,3.5655852631364056,2.929971957601884,1.3984184141769678,schwefel
