cell,k,gain_all,gain_all_lo,gain_all_hi,gain_train,gain_test,gain_test_lo,gain_test_hi,test_landscapes_gaining,p_test,p_test_holm_over_k,recovered_all,recovered_test,p_test_holm_all_cells
0.25sigma_from_trial_1,20,-0.046080040339281855,-0.06815901914002685,-0.028089500611445346,-0.04822108180998753,-0.04393899886857619,-0.06586245537749902,-0.02453664167034901,1,0.00021367000439069728,0.001495690030734881,-0.9943189671689383,-1.0547422016749375,0.01260653025905114
0.25sigma_from_trial_1,25,-0.0707347140741102,-0.1057167324506014,-0.042151553826778494,-0.07084246203381525,-0.07062696611440512,-0.10930281668229783,-0.040260247589919404,1,0.00015509577279577017,0.0012407661823661614,-1.5263195805235168,-1.6953786762402574,0.00930574636774621
0.25sigma_from_trial_1,30,-0.10742616680069286,-0.1544166323777605,-0.06822110728590902,-0.10529029383770164,-0.10956203976368409,-0.1594340662614205,-0.07033322761120088,0,1.9073486328125e-06,1.71661376953125e-05,-2.3180508183957835,-2.6300031865994544,0.0001373291015625
0.25sigma_from_trial_21,2,-0.004194387543918718,-0.014313449352531555,0.005102594392000392,-0.004240932981979093,-0.004147842105858342,-0.015525138762120291,0.005857055864586261,10,0.6580087852326646,1.0,-0.11988531011904231,-0.1258645916918824,1.0
0.25sigma_from_trial_21,3,-0.00336289013816581,-0.011816054016187624,0.004628226060967566,-0.003398145729518371,-0.003327634546813247,-0.01249368658717814,0.004938319951606999,11,0.7561664581298828,1.0,-0.09611918853201942,-0.10097572493005487,1.0
0.25sigma_from_trial_21,5,-0.0046922295852535895,-0.013753466728628344,0.0035662036367860566,-0.0031257574966171904,-0.006258701673889989,-0.017665221296507657,0.003749872873733064,11,0.5460878490645904,1.0,-0.13411478865215057,-0.18991777184402975,1.0
0.25sigma_from_trial_21,8,-0.006775362575338237,-0.01652899417700046,0.0026073124121611772,-0.004554573054759486,-0.008996152095916988,-0.02166019731506277,0.0023821198194251625,9,0.29542405582364173,1.0,-0.19365555400121567,-0.2729845981242697,1.0
0.25sigma_from_trial_21,12,-0.010808730202265783,-0.02243252324323511,0.00025397427356338946,-0.006700257844253217,-0.01491720256027835,-0.030015219832303194,-0.0014762912499427456,9,0.15364646911621094,0.7682323455810547,-0.30893854197388954,-0.45265648053061636,1.0
0.25sigma_from_trial_21,16,-0.01793183765382404,-0.032618844121406136,-0.003989959916793027,-0.010388435754866848,-0.02547523955278123,-0.04568693032551374,-0.00867577713128813,7,0.02687559167118386,0.16125355002710315,-0.5125334499073352,-0.7730358443574779,0.879180908203125
0.25sigma_from_trial_21,20,-0.03350303243622677,-0.05459621071159277,-0.014118990169659727,-0.02681704383337959,-0.04018902103907396,-0.06764262805220495,-0.01703739539695585,6,0.015755486091547432,0.11028840264083202,-0.9575942593499213,-1.2195195946429958,0.5829529853872549
0.25sigma_from_trial_21,25,-0.052285242461725744,-0.08600322934523318,-0.02523108220615819,-0.04222516754593688,-0.06234531737751461,-0.10319548212104566,-0.02938970305759047,5,0.004848166082515941,0.03878532866012753,-1.4944333210843572,-1.8918434490403169,0.22786380587824923
0.25sigma_from_trial_21,30,-0.08753960856422469,-0.13730735238201736,-0.04744982284750224,-0.07830069878831661,-0.09677851834013272,-0.15139570849689724,-0.054959790057769194,0,0.0001318338889828333,0.0011865050008454997,-2.502084752668487,-2.936705010593806,0.008173701116935665
1sigma_from_trial_1,2,0.02574899289724833,0.011976936946292493,0.038450071461124724,0.021184685368110807,0.030313300426385848,0.012656427048445603,0.048469357359366486,14,0.00485992431640625,0.0291595458984375,0.10279166169638848,0.11604654060521093,0.22786380587824923
1sigma_from_trial_1,3,0.021996717929594078,0.006887322187882205,0.03744009921082302,0.01902929929378359,0.024964136565404565,0.0025888746993973292,0.0472201897359122,13,0.08969497680664062,0.3587799072265625,0.08781233490849842,0.09556866612550019,1.0
1sigma_from_trial_1,5,0.018210006221020158,0.0041218871500555195,0.03193361618035437,0.011554780221429676,0.024865232220610635,0.005625699299827292,0.045463234413525365,12,0.05316925048828125,0.26584625244140625,0.07269553440128013,0.09519003671521763,1.0
1sigma_from_trial_1,8,0.011492415328122908,-0.004215119918934025,0.028221017876277572,0.009178228932490594,0.01380660172375522,-0.00804187963828809,0.036019719439326844,12,0.40909767150878906,0.7365531921386719,0.0458784727308322,0.05285496283872516,1.0
1sigma_from_trial_1,12,-0.009872470214040276,-0.026125014094924112,0.006084657058096302,-0.010333712971023007,-0.009411227457057546,-0.029362004080230025,0.01167999532571143,9,0.36827659606933594,0.7365531921386719,-0.03941154601264998,-0.036028422305664345,1.0
1sigma_from_trial_1,16,-0.02492688737604814,-0.045059785270704714,-0.005595278178606107,-0.0338060407264278,-0.01604773402566847,-0.03954787320172945,0.008756552755968778,6,0.2305126190185547,0.6915378570556641,-0.09950976275179038,-0.06143455156767945,1.0
1sigma_from_trial_1,20,-0.04852976083611715,-0.07300753502505504,-0.02717668247736298,-0.052002112285110036,-0.04505740938712428,-0.07096173216341625,-0.02183681957199247,4,0.002712249755859375,0.018985748291015625,-0.19373397545990584,-0.1724905046451894,0.13561248779296875
1sigma_from_trial_1,25,-0.07711228520676704,-0.10722041549885915,-0.049137379699808206,-0.07894213857287283,-0.07528243184066125,-0.10550969275863893,-0.04630465858258881,3,0.0001049041748046875,0.0008392333984375,-0.307837279898294,-0.28819909612520916,0.0066089630126953125
1sigma_from_trial_1,30,-0.12514230670079468,-0.1603877971042158,-0.09323866429139771,-0.12367588467401827,-0.1266087287275711,-0.16088679876673428,-0.0941336242894256,1,5.7220458984375e-06,5.14984130859375e-05,-0.4995762632591524,-0.48468839659799295,0.000400543212890625
1sigma_from_trial_21,2,0.013636673856716255,0.002547552525343418,0.024929412322600278,0.01607244329948609,0.01120090441394642,-0.0018864806549534082,0.024562675071486295,12,0.2942523956298828,0.8842658996582031,0.09145838049853248,0.07545913735192686,1.0
1sigma_from_trial_21,3,0.019309622123662946,0.008413172608322543,0.02950373834900657,0.02233497936746559,0.016284264879860295,0.004364957460730356,0.02861817654040672,14,0.03276824951171875,0.26214599609375,0.12950568342580498,0.10970512155380444,0.9502792358398438
1sigma_from_trial_21,5,0.020158907274083503,0.007411715433731339,0.03247378990794575,0.023444064154259252,0.016873750393907757,0.0027032649648473755,0.03136719927707755,14,0.058258056640625,0.407806396484375,0.13520166510396628,0.1136764141144385,1.0
1sigma_from_trial_21,8,0.017047727830232052,0.003982226727565296,0.03126287701048504,0.02074735179572433,0.01334810386473977,-0.002041101370453959,0.029065136900743086,12,0.20244979858398438,0.8842658996582031,0.11433562134837429,0.08992456016882514,1.0
1sigma_from_trial_21,12,0.01915761472871568,0.0023544245270259944,0.03512180577604772,0.022001941898190346,0.016313287559241017,-0.0037361463290427463,0.03569986737643527,13,0.13272666931152344,0.7963600158691406,0.12848620093969784,0.10990064383207547,1.0
1sigma_from_trial_21,16,0.01726577802226515,-0.0041363943333934255,0.03541783003993475,0.023552680897454936,0.010978875147075368,-0.013511187863847774,0.03238772048259358,13,0.17685317993164062,0.8842658996582031,0.11579803935736108,0.07396335305399913,1.0
1sigma_from_trial_21,20,0.006442168981034643,-0.018899441925661103,0.027705587916517116,0.015362298110831157,-0.0024779601487618635,-0.027949936629077212,0.019029292444567955,10,0.8983173370361328,0.8983173370361328,0.04320630881797654,-0.01669371760598233,1.0
1sigma_from_trial_21,25,-0.01410354591164203,-0.0472076600252077,0.01427852905479872,-0.004242544210201758,-0.0239645476130823,-0.06336855624714798,0.009952845828048264,8,0.26109886169433594,0.8842658996582031,-0.09458959581483216,-0.1614462567559072,1.0
1sigma_from_trial_21,30,-0.039204904451127655,-0.0845905128347504,-0.0004063074903953848,-0.026835460852116695,-0.05157434805013861,-0.10299389399324321,-0.013028914807074724,6,0.023950576782226562,0.21555519104003906,-0.26293926996969835,-0.3474501405891657,0.8143196105957031
5sigma_from_trial_1,2,0.05572668457499612,0.02499021326308323,0.09010553977109544,0.04717655802486129,0.06427681112513094,0.029694292473295466,0.1049868854832895,16,0.001209259033203125,0.009674072265625,0.07404884252653401,0.08530685425171437,0.0628814697265625
5sigma_from_trial_1,3,0.0640277531655726,0.03579504372252389,0.09651547415816251,0.06385021473905339,0.06420529159209179,0.03532394585020748,0.10050445793331134,16,8.20159912109375e-05,0.0007381439208984375,0.08507918688585658,0.08521193500674368,0.0052490234375
5sigma_from_trial_1,5,0.06277340948199231,0.0336911675913237,0.09674616431616251,0.059975227037365145,0.06557159192661949,0.028080957042257448,0.10624383694423885,17,0.001209259033203125,0.009674072265625,0.08341243246455973,0.08702526055076795,0.0628814697265625
5sigma_from_trial_1,8,0.06431683653008773,0.031218244099196688,0.10319111317807908,0.0710832611369538,0.057550411923221655,0.01458070986360756,0.09973988160795826,17,0.00485992431640625,0.0291595458984375,0.08546331683543598,0.07637971635685115,0.22786380587824923
5sigma_from_trial_1,12,0.059418339727949986,0.027605048898227277,0.09298946104102265,0.07105210457964248,0.0477845748762575,0.0031816320792237684,0.09442719225761192,17,0.006389617919921875,0.031948089599609375,0.0789542624912811,0.06341869942043936,0.2747535705566406
5sigma_from_trial_1,16,0.054998871646059946,0.018841092946332624,0.09616302480979538,0.04948535989069178,0.0605123834014281,0.01787520317319547,0.10868134018589377,14,0.03623390197753906,0.14493560791015625,0.0730817348406095,0.08031078363859906,1.0
5sigma_from_trial_1,20,0.042153690706918726,0.0011984745880160247,0.08540050807747408,0.05051344622840338,0.03379393518543405,-0.012946718317802744,0.08243696738989055,14,0.17685317993164062,0.5305595397949219,0.056013237264601126,0.04485061179907487,1.0
5sigma_from_trial_1,25,0.0010824443108803008,-0.04426888095710199,0.04390843828571595,0.004558648992355788,-0.0023937603705951895,-0.06380833963908294,0.053566667357731176,13,0.6742229461669922,1.0,0.0014383369283749213,-0.003176949252357261,1.0
5sigma_from_trial_1,30,-0.011884619758325998,-0.05806962766203185,0.030214759088029265,-0.005149286111183983,-0.018619953405468022,-0.08594526656712007,0.040011326478411914,10,0.8694877624511719,1.0,-0.015792117253766804,-0.02471201703273262,1.0
5sigma_from_trial_21,2,0.025822152258952274,0.005408448209570971,0.04738900748286728,0.02801265156846815,0.02363165294943641,0.00023747224535270323,0.04752371004970329,13,0.069580078125,0.069580078125,0.04724043685780415,0.04249105057959023,1.0
5sigma_from_trial_21,3,0.046620216192604244,0.025762934037286397,0.07159421586595045,0.03756783246276254,0.05567259992244592,0.025062562911703955,0.09078014330742887,16,0.0003223419189453125,0.00128936767578125,0.0852895357930656,0.1001024881443326,0.018373489379882812
5sigma_from_trial_21,5,0.09308323798288054,0.05908689348085681,0.13107764935282423,0.08273235286816638,0.10343412309759473,0.057988224983089726,0.15638545382225283,18,6.29425048828125e-05,0.0003147125244140625,0.1702914916755527,0.1859804121869637,0.0040912628173828125
5sigma_from_trial_21,8,0.12507679761043083,0.09322422461155368,0.16341889984765262,0.10456992425042577,0.14558367097043595,0.08996111650928305,0.20374223497667976,19,9.5367431640625e-06,8.58306884765625e-05,0.2288222337409318,0.26176768675484235,0.0006580352783203125
5sigma_from_trial_21,12,0.16295084688196015,0.11486304641811727,0.21420902665863892,0.1746673338211939,0.15123435994272644,0.09828645023596567,0.20689143387845266,19,3.62396240234375e-05,0.000217437744140625,0.29811106045136804,0.27192794560109684,0.002391815185546875
5sigma_from_trial_21,16,0.2256788111431324,0.1563464975390134,0.29654783208524793,0.22421202985970673,0.22714559242655805,0.14224107241623568,0.3197462191927721,19,9.5367431640625e-06,8.58306884765625e-05,0.41286897858234645,0.40842064147518925,0.0006580352783203125
5sigma_from_trial_21,20,0.2252259463338319,0.15188599097534686,0.29851513627627846,0.2088052840916462,0.24164660857601747,0.15300141385023358,0.34596874541513484,18,9.5367431640625e-06,8.58306884765625e-05,0.41204048329603793,0.4344942898983661,0.0006580352783203125
5sigma_from_trial_21,25,0.1652437806596075,0.10658685036213639,0.22972802141856366,0.1588543873842694,0.17163317393494557,0.092833004876233,0.2576388553278746,16,0.0005855560302734375,0.0017566680908203125,0.30230587706680034,0.3086061686167115,0.031034469604492188
5sigma_from_trial_21,30,0.13189576386249663,0.06519536794556324,0.2031984906373166,0.1335958404463759,0.13019568727861733,0.05066812786668603,0.22341597558335474,15,0.012079238891601562,0.024158477783203125,0.24129721806585508,0.2340992204496714,0.4831695556640625
