section,problem,scheme,direction,candidate,role,metric,full_value,full_lo,full_hi,train_value,test_value,test_lo,test_hi,p_test,optimism,note,n_landscapes_test,seed_shift_mean_over_candidates,test_rank_of_selected,test_best_candidate,test_best_value,n_folds,test_median,test_p2_5,test_p97_5,test_mean,train_mean,optimism_mean,optimism_p2_5,optimism_p97_5,optimism_net_of_shift_mean,optimism_net_p2_5,optimism_net_p97_5,fixed_choice_optimism_mean,full_best_test_p2_5,full_best_test_p97_5,share_selected_k5_to_16,share_selected_full_best,share_selected_paper_choice,full_best,full_best_value,full_best_test_median,selection_regret_on_test_mean,selected_distribution,family,group,label,scope,n_landscapes,mean_gain_test,landscapes_gaining_test,p_full,p_holm_core_test,p_holm_core_full,p_holm_all_test,p_holm_all_full
0_balance,"ship rules (lcb2, gaussian >= 0.25 sigma)",,,,,,,,,,,,,,,"seeds 7-16 (10), runs per landscape x seed [60.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_balance,remedies (shortlist_m3),,,,,,,,,,,,,,,"seeds 7-16 (10), runs per landscape x seed [64.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_balance,gross faults (spike) (ordinal_lcb1),,,,,,,,,,,,,,,"seeds 7-11 (5), runs per landscape x seed [2.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_balance,capped scale (ordinal_lcb1),,,,,,,,,,,,,,,"seeds 7-11 (5), runs per landscape x seed [4.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,7-11 -> 12-16,fixed_k2,candidate,gain,0.009984150859336504,-0.0025163519797882722,0.021781988702911932,0.008838519554339045,0.01112978216433396,-0.002511619400568128,0.024406483182416013,0.14290618896484375,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,7-11 -> 12-16,fixed_k3,candidate,gain,0.014749334621137308,0.0042442394414036935,0.0256585063496705,0.013281854825336864,0.016216814416937803,0.0034355714187803916,0.029636386739841387,0.04844093322753906,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,7-11 -> 12-16,fixed_k5,candidate,gain,0.019870859941035122,0.007645297223398229,0.032309125096886784,0.01782667286336101,0.021915047018709246,0.007110786115181163,0.03784486823607505,0.01068878173828125,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,7-11 -> 12-16,fixed_k8,"paper_choice,full_best,test_best",gain,0.021768756486725487,0.008364861783001028,0.03409533265320318,0.020845672119805612,0.022691840853645357,0.006590901148818269,0.03935999284708565,0.012079238891601562,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,7-11 -> 12-16,fixed_k12,selected,gain,0.020737841967033453,0.00616116831215758,0.03420624786945757,0.024287076849043153,0.017188607085023778,0.0011519005322462974,0.03348953783452877,0.04844093322753906,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,7-11 -> 12-16,fixed_k16,candidate,gain,0.02166668819908526,0.0017884826476495153,0.041060798598358525,0.021314602399932926,0.022018773998237616,-0.0010175051530275547,0.047600299521445594,0.10539817810058594,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,7-11 -> 12-16,fixed_k20,candidate,gain,0.008548344366428588,-0.014709414282839764,0.030469253191634172,0.00902024884275859,0.00807643989009858,-0.01715804052816857,0.033126745019232046,0.47490501403808594,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,7-11 -> 12-16,fixed_k25,candidate,gain,-0.021545679674269597,-0.049077582623860964,0.0033801476999899926,-0.018893779625897715,-0.024197579722641464,-0.055343678414451945,0.004484163386602427,0.11398696899414062,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,7-11 -> 12-16,fixed_k30,candidate,gain,-0.05383299159978951,-0.08843438635574676,-0.02478290137109983,-0.049001390398983706,-0.05866459280059535,-0.09657752408281081,-0.025425482501877646,0.000850677490234375,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,7-11 -> 12-16,fixed_k12,summary_selected,gain,0.020737841967033453,0.00616116831215758,0.03420624786945757,0.024287076849043153,0.017188607085023778,0.0011519005322462974,0.03348953783452877,0.04844093322753906,0.007098469764019375,,,0.0012382605028829169,4.0,fixed_k8,0.022691840853645357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,12-16 -> 7-11,fixed_k2,candidate,gain,0.009984150859336504,-0.0025163519797882722,0.021781988702911932,0.01112978216433396,0.008838519554339045,-0.0038693480439982004,0.021609695333498092,0.17685317993164062,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,12-16 -> 7-11,fixed_k3,candidate,gain,0.014749334621137308,0.0042442394414036935,0.0256585063496705,0.016216814416937803,0.013281854825336864,0.002838852435027305,0.023999759823850293,0.04405403137207031,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,12-16 -> 7-11,fixed_k5,candidate,gain,0.019870859941035122,0.007645297223398229,0.032309125096886784,0.021915047018709246,0.01782667286336101,0.0055566954560484095,0.030328760586904778,0.039989471435546875,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,12-16 -> 7-11,fixed_k8,"selected,paper_choice,full_best",gain,0.021768756486725487,0.008364861783001028,0.03409533265320318,0.022691840853645357,0.020845672119805612,0.009399895208641052,0.03298866859874679,0.006389617919921875,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,12-16 -> 7-11,fixed_k12,test_best,gain,0.020737841967033453,0.00616116831215758,0.03420624786945757,0.017188607085023778,0.024287076849043153,0.010637419981374494,0.03816704352133031,0.006389617919921875,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,12-16 -> 7-11,fixed_k16,candidate,gain,0.02166668819908526,0.0017884826476495153,0.041060798598358525,0.022018773998237616,0.021314602399932926,0.0037828409937779093,0.03874947983113187,0.03623390197753906,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,12-16 -> 7-11,fixed_k20,candidate,gain,0.008548344366428588,-0.014709414282839764,0.030469253191634172,0.00807643989009858,0.00902024884275859,-0.013088778218687919,0.030778478854541918,0.4304332733154297,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,12-16 -> 7-11,fixed_k25,candidate,gain,-0.021545679674269597,-0.049077582623860964,0.0033801476999899926,-0.024197579722641464,-0.018893779625897715,-0.04417138463308294,0.004264669784504539,0.2305126190185547,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,12-16 -> 7-11,fixed_k30,candidate,gain,-0.05383299159978951,-0.08843438635574676,-0.02478290137109983,-0.05866459280059535,-0.049001390398983706,-0.08310811593159242,-0.01853810932064299,0.00485992431640625,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,k,seed,12-16 -> 7-11,fixed_k8,summary_selected,gain,0.021768756486725487,0.008364861783001028,0.03409533265320318,0.022691840853645357,0.020845672119805612,0.009399895208641052,0.03298866859874679,0.006389617919921875,0.0018461687338397446,,,-0.0012382605028829169,3.0,fixed_k12,0.024287076849043153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,confirm_k2,candidate,recovery,0.032079935582413774,-0.05327328467018508,0.11817329004509365,-0.011099224501929553,0.07177471120438073,-0.025571801537846696,0.1640079728627396,0.1893482208251953,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,confirm_k4,candidate,recovery,0.03385663400167733,-0.053248552746866795,0.11783978853984553,0.015491351265275382,0.05073991232463383,-0.039572544474242126,0.13587813219313832,0.3299827575683594,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,rerate3x2,candidate,recovery,0.04116325232881443,0.0003951822452065143,0.09284475429012515,0.041163252328814424,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k3_lcb_rho0.5_look,candidate,recovery,0.18214812093430544,0.1095098231197769,0.2547623232751536,0.1489779242587327,0.2126416162177118,0.12877778838149015,0.29583409996580995,0.0010166168212890625,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k3_lcb_rho0.5_post,candidate,recovery,0.13025768728631876,0.0312675101179504,0.22274380245563147,0.10111598127938616,0.1570477748870723,0.04449682953389617,0.2620647406362033,0.029575347900390625,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k3_lcb_rho1_look,candidate,recovery,0.13175865916262014,0.0609539723684937,0.19905966332114478,0.09994327575297014,0.16100666915878561,0.0855392489228275,0.23278418989122374,0.0072956085205078125,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k3_lcb_rho1_post,candidate,recovery,0.11722299558889016,0.022531543009875733,0.20892247870590056,0.09046997447888792,0.14181715555163452,0.03617156482261553,0.23702449128198178,0.03276824951171875,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k3_obs_rho0.5_look,candidate,recovery,0.11273062301489327,0.07013923052166837,0.15543149075005078,0.08891209557374166,0.13462709113922355,0.08606491664798631,0.18481093621109276,0.0003223419189453125,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k3_obs_rho0.5_post,candidate,recovery,0.09567822875741205,0.039773988553625704,0.15592739291484245,0.056559174307243644,0.13164053293168881,0.06953471491223022,0.19509806724273815,0.00365447998046875,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k3_obs_rho1_look,candidate,recovery,0.04504498715735928,-0.0012040302105659332,0.09157378524833608,0.022972447281770395,0.06533636188667263,0.010758925380909588,0.1217330586345111,0.04844093322753906,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k3_obs_rho1_post,candidate,recovery,0.07521998497221097,0.022361332913765797,0.13260250135257026,0.028171023085219196,0.11847228496374777,0.05833826439924183,0.18261844602778549,0.006389617919921875,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k5_lcb_rho0.5_look,"selected,paper_choice,full_best,test_best",recovery,0.1966228787952786,0.1269470718012065,0.2678360771004011,0.15998538289162562,0.23030387621175158,0.15114645828729206,0.3086128211528628,0.000209808349609375,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k5_lcb_rho0.5_post,candidate,recovery,0.1149992306436152,0.018152073163724372,0.20664852684825125,0.0795859937446639,0.14755476183054864,0.04486097084074024,0.244422173779634,0.021484375,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k5_lcb_rho1_look,candidate,recovery,0.12187275813209382,0.05541599911512625,0.18900532500238035,0.06513773150603906,0.17402949641575868,0.09128111058601521,0.25749041006230916,0.005580902099609375,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k5_lcb_rho1_post,candidate,recovery,0.08554630210470147,-0.009970993744041114,0.17687324605955182,0.039395350435158516,0.127973057689672,0.026337947220415176,0.22309069142761564,0.03623390197753906,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k5_obs_rho0.5_look,candidate,recovery,0.13921121203930864,0.10461967954903113,0.16840046305234166,0.09780950635438859,0.17727196667926562,0.1331329419469983,0.2171852221257189,3.62396240234375e-05,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k5_obs_rho0.5_post,candidate,recovery,0.10128908938092916,0.03836801307137189,0.165001496298722,0.04884836034613585,0.14949806260834675,0.081070165366431,0.2179259015756685,0.001689910888671875,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k5_obs_rho1_look,candidate,recovery,0.016379597699731716,-0.014148060399428147,0.04214707373501189,-0.024277402535880302,0.05375574162338483,0.014355195327598595,0.0884285784759312,0.03623390197753906,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k5_obs_rho1_post,candidate,recovery,0.05532207360140882,0.003450697509301327,0.10458278168194401,0.002980449800075696,0.10343993898889892,0.04433058147730521,0.16068202993516156,0.009435653686523438,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,7-11 -> 12-16,tournament_k5_lcb_rho0.5_look,summary_selected,recovery,0.1966228787952786,0.1269470718012065,0.2678360771004011,0.15998538289162562,0.23030387621175158,0.15114645828729206,0.3086128211528628,0.000209808349609375,-0.07031849332012596,,,-0.07210842316609299,1.0,tournament_k5_lcb_rho0.5_look,0.23030387621175158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,confirm_k2,candidate,recovery,0.032079935582413774,-0.05327328467018508,0.11817329004509365,0.07177471120438073,-0.011099224501929607,-0.09307501348568505,0.07421717092221859,0.5458755493164062,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,confirm_k4,candidate,recovery,0.03385663400167733,-0.053248552746866795,0.11783978853984553,0.05073991232463388,0.015491351265275314,-0.07410653738798414,0.1055217668616139,0.9272785186767578,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,rerate3x2,candidate,recovery,0.04116325232881443,0.0003951822452065143,0.09284475429012515,,0.04116325232881443,0.0003951822452065143,0.09284475429012515,0.11398696899414062,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k3_lcb_rho0.5_look,candidate,recovery,0.18214812093430544,0.1095098231197769,0.2547623232751536,0.21264161621771174,0.14897792425873269,0.0827769803231573,0.22215728300648918,0.0014324188232421875,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k3_lcb_rho0.5_post,candidate,recovery,0.13025768728631876,0.0312675101179504,0.22274380245563147,0.1570477748870723,0.10111598127938609,0.01589214335025825,0.18547214934575582,0.04405403137207031,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k3_lcb_rho1_look,candidate,recovery,0.13175865916262014,0.0609539723684937,0.19905966332114478,0.1610066691587856,0.09994327575297011,0.03447935510846226,0.169124760440054,0.01923370361328125,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k3_lcb_rho1_post,candidate,recovery,0.11722299558889016,0.022531543009875733,0.20892247870590056,0.14181715555163452,0.09046997447888785,0.0030765786314088123,0.17513354064548436,0.06372261047363281,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k3_obs_rho0.5_look,candidate,recovery,0.11273062301489327,0.07013923052166837,0.15543149075005078,0.13462709113922355,0.08891209557374162,0.04186785447363514,0.134051633760351,0.0014324188232421875,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k3_obs_rho0.5_post,candidate,recovery,0.09567822875741205,0.039773988553625704,0.15592739291484245,0.13164053293168876,0.05655917430724361,0.0021814019113779817,0.1227391794684793,0.16495704650878906,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k3_obs_rho1_look,candidate,recovery,0.04504498715735928,-0.0012040302105659332,0.09157378524833608,0.06533636188667266,0.022972447281770336,-0.028381087246086314,0.07118786511864707,0.6476554870605469,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k3_obs_rho1_post,candidate,recovery,0.07521998497221097,0.022361332913765797,0.13260250135257026,0.1184722849637478,0.028171023085219165,-0.021892338900615975,0.0889817491880234,0.7285060882568359,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k5_lcb_rho0.5_look,"selected,paper_choice,full_best,test_best",recovery,0.1966228787952786,0.1269470718012065,0.2678360771004011,0.23030387621175158,0.1599853828916255,0.09562136228972548,0.22970391629475234,0.0007076263427734375,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k5_lcb_rho0.5_post,candidate,recovery,0.1149992306436152,0.018152073163724372,0.20664852684825125,0.14755476183054864,0.07958599374466381,-0.014764867309433221,0.17144578620991238,0.1230926513671875,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k5_lcb_rho1_look,candidate,recovery,0.12187275813209382,0.05541599911512625,0.18900532500238035,0.17402949641575863,0.06513773150603905,0.004554276671435172,0.12777620356537053,0.082550048828125,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k5_lcb_rho1_post,candidate,recovery,0.08554630210470147,-0.009970993744041114,0.17687324605955182,0.127973057689672,0.03939535043515851,-0.05486272091477613,0.12985439560343362,0.3299827575683594,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k5_obs_rho0.5_look,candidate,recovery,0.13921121203930864,0.10461967954903113,0.16840046305234166,0.17727196667926562,0.09780950635438859,0.057099919682337824,0.13490777437486803,0.0004825592041015625,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k5_obs_rho0.5_post,candidate,recovery,0.10128908938092916,0.03836801307137189,0.165001496298722,0.14949806260834678,0.04884836034613579,-0.01535729115533009,0.11313796463705497,0.24548721313476562,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k5_obs_rho1_look,candidate,recovery,0.016379597699731716,-0.014148060399428147,0.04214707373501189,0.05375574162338488,-0.024277402535880326,-0.07338637894944876,0.016860629435807944,0.3299827575683594,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k5_obs_rho1_post,candidate,recovery,0.05532207360140882,0.003450697509301327,0.10458278168194401,0.10343993898889899,0.0029804498000757453,-0.048560310849020745,0.053541986167832394,0.9854354858398438,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting19,seed,12-16 -> 7-11,tournament_k5_lcb_rho0.5_look,summary_selected,recovery,0.1966228787952786,0.1269470718012065,0.2678360771004011,0.23030387621175158,0.1599853828916255,0.09562136228972548,0.22970391629475234,0.0007076263427734375,0.07031849332012596,,,0.07210842316609299,1.0,tournament_k5_lcb_rho0.5_look,0.15998538289162562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting_rho1,seed,7-11 -> 12-16,confirm_k2,candidate,recovery,0.032079935582413774,-0.05327328467018508,0.11817329004509365,-0.011099224501929553,0.07177471120438073,-0.025571801537846696,0.1640079728627396,0.1893482208251953,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting_rho1,seed,7-11 -> 12-16,confirm_k4,candidate,recovery,0.03385663400167733,-0.053248552746866795,0.11783978853984553,0.015491351265275382,0.05073991232463383,-0.039572544474242126,0.13587813219313832,0.3299827575683594,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting_rho1,seed,7-11 -> 12-16,rerate3x2,candidate,recovery,0.04116325232881443,0.0003951822452065143,0.09284475429012515,0.041163252328814424,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting_rho1,seed,7-11 -> 12-16,tournament_k3_lcb_rho1_look,"selected,full_best",recovery,0.13175865916262014,0.0609539723684937,0.19905966332114478,0.09994327575297014,0.16100666915878561,0.0855392489228275,0.23278418989122374,0.0072956085205078125,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting_rho1,seed,7-11 -> 12-16,tournament_k3_lcb_rho1_post,candidate,recovery,0.11722299558889016,0.022531543009875733,0.20892247870590056,0.09046997447888792,0.14181715555163452,0.03617156482261553,0.23702449128198178,0.03276824951171875,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting_rho1,seed,7-11 -> 12-16,tournament_k3_obs_rho1_look,candidate,recovery,0.04504498715735928,-0.0012040302105659332,0.09157378524833608,0.022972447281770395,0.06533636188667263,0.010758925380909588,0.1217330586345111,0.04844093322753906,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting_rho1,seed,7-11 -> 12-16,tournament_k3_obs_rho1_post,candidate,recovery,0.07521998497221097,0.022361332913765797,0.13260250135257026,0.028171023085219196,0.11847228496374777,0.05833826439924183,0.18261844602778549,0.006389617919921875,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting_rho1,seed,7-11 -> 12-16,tournament_k5_lcb_rho1_look,"paper_choice,test_best",recovery,0.12187275813209382,0.05541599911512625,0.18900532500238035,0.06513773150603906,0.17402949641575868,0.09128111058601521,0.25749041006230916,0.005580902099609375,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting_rho1,seed,7-11 -> 12-16,tournament_k5_lcb_rho1_post,candidate,recovery,0.08554630210470147,-0.009970993744041114,0.17687324605955182,0.039395350435158516,0.127973057689672,0.026337947220415176,0.22309069142761564,0.03623390197753906,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_seed_split,sitting_rho1,seed,7-11 -> 12-16,tournament_k5_obs_rho1_look,candidate,recovery,0.016379597699731716,-0.014148060399428147,0.04214707373501189,-0.024277402535880302,0.05375574162338483,0.014355195327598595,0.0884285784759312,0.03623390197753906,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
