arm,T,error_model,jitter_std,onset,quantity,estimate,lo,hi,n_landscapes,n_runs
main,50,ar1,0.05,20,bound_final,0.10055276152342034,0.059472802476130515,0.14471801258671407,20,2000
main,50,ar1,0.05,20,inst_excess,-0.04264731589798428,-0.061644083142700014,-0.024679273725727993,20,2000
main,50,ar1,0.05,20,share_bound_zero,0.2825,,,20,2000
main,50,ar1,0.05,20,share_prefix_identical,1.0,,,20,2000
main,50,ar1,0.05,20,n_bound_violations,0.0,,,20,2000
main,50,ar1,0.05,20,max_violation,0.0,,,20,2000
main,50,ar1,0.05,20,share_iters_bound_binds,0.13181206548553487,,,20,2000
main,50,ar1,0.05,20,share_iters_ge90pct_bound,0.15132316662928907,,,20,2000
main,50,ar1,0.05,20,share_iters_ge50pct_bound,0.227965911639381,,,20,2000
main,50,ar1,0.05,20,share_runs_noisy_no_gain_clean_gain,0.0665,,,20,2000
main,50,ar1,0.05,20,share_runs_deployed_exceeds_bound,0.2115,,,20,2000
main,50,ar1,0.05,early/late,raw_ratio,2.4500701123243194,-14.426881450126624,21.4776527032326,20,4000
main,50,ar1,0.05,early/late,bound_ratio,5.261710101248608,3.55821249644663,8.849883414073973,20,4000
main,50,ar1,0.05,early/late,normalised_ratio,0.46564141033595063,-2.6563849645881286,3.9946154292007625,20,4000
main,50,ar1,0.05,early/late,normalised_task_ratio,0.22840908362542045,-1.3708441354461463,1.9769768895088553,20,4000
main,50,ar1,0.05,early/late,deployed_ratio,2.2525671151695255,0.814128447717331,10.876238804641014,20,4000
main,50,ar1,0.05,early/late,inst_ratio,0.741748482176303,0.5857480395248325,0.9057231847893583,20,4000
main,50,ar1,0.05,early/late,inst_diff,0.011013734061761128,0.00308559611187418,0.019075615025196332,20,4000
main,50,ar1,0.05,early/late,mechanical_log_share,1.8529463816022875,,,20,4000
main,50,ar1,0.25,0,excess,0.038947734089645775,0.029615685002523776,0.049632339497463845,20,2000
main,50,ar1,0.25,0,bound,0.3460289878509695,0.2882900209786484,0.4089957903577972,20,2000
main,50,ar1,0.25,0,normalised,0.11255627550608589,0.0939725729436841,0.13248893467240624,20,2000
main,50,ar1,0.25,0,median_run_ratio,0.06271807728178819,0.039308173652414014,0.08378954868246648,20,2000
main,50,ar1,0.25,0,bound_task,0.8069627164041698,0.6735473594319363,0.943049618697747,20,2000
main,50,ar1,0.25,0,normalised_task,0.04826460169460751,0.035892972746364854,0.0636449412407826,20,2000
main,50,ar1,0.25,0,deployed,0.07676593035145687,0.06663629787324325,0.08689375325991398,20,2000
main,50,ar1,0.25,0,bound_final,0.4826932063569712,0.4061970424767386,0.5595766785427135,20,2000
main,50,ar1,0.25,0,inst_excess,-0.027337669955203998,-0.0523844482539123,-0.005145587250825065,20,2000
main,50,ar1,0.25,0,share_bound_zero,0.0045,,,20,2000
main,50,ar1,0.25,0,share_prefix_identical,1.0,,,20,2000
main,50,ar1,0.25,0,n_bound_violations,0.0,,,20,2000
main,50,ar1,0.25,0,max_violation,0.0,,,20,2000
main,50,ar1,0.25,0,share_iters_bound_binds,0.03794203888411309,,,20,2000
main,50,ar1,0.25,0,share_iters_ge90pct_bound,0.0515667871736596,,,20,2000
main,50,ar1,0.25,0,share_iters_ge50pct_bound,0.1638855850869652,,,20,2000
main,50,ar1,0.25,0,share_runs_noisy_no_gain_clean_gain,0.011,,,20,2000
main,50,ar1,0.25,0,share_runs_deployed_exceeds_bound,0.059,,,20,2000
main,50,ar1,0.25,20,excess,0.008850772038508103,0.004559254395944881,0.013189160785429425,20,2000
main,50,ar1,0.25,20,bound,0.0657635979923821,0.04042189499356116,0.09362413322965624,20,2000
main,50,ar1,0.25,20,normalised,0.13458466855072856,0.07061571024587221,0.2118996211260233,20,2000
main,50,ar1,0.25,20,median_run_ratio,0.24992277646309555,0.13649112653540407,0.4524244010409696,20,2000
main,50,ar1,0.25,20,bound_task,0.0752295265537928,0.04704741929001567,0.10573734606871556,20,2000
main,50,ar1,0.25,20,normalised_task,0.11765024245073998,0.06280159345991185,0.18058854216220308,20,2000
main,50,ar1,0.25,20,deployed,0.03469618553354008,0.02515340708468812,0.04382292608966902,20,2000
main,50,ar1,0.25,20,bound_final,0.10055276152342034,0.059472802476130515,0.14471801258671407,20,2000
main,50,ar1,0.25,20,inst_excess,-0.0774064891776461,-0.11628936690560322,-0.04330613334386251,20,2000
main,50,ar1,0.25,20,share_bound_zero,0.2825,,,20,2000
main,50,ar1,0.25,20,share_prefix_identical,1.0,,,20,2000
main,50,ar1,0.25,20,n_bound_violations,0.0,,,20,2000
main,50,ar1,0.25,20,max_violation,0.0,,,20,2000
main,50,ar1,0.25,20,share_iters_bound_binds,0.2446176272706885,,,20,2000
main,50,ar1,0.25,20,share_iters_ge90pct_bound,0.272034088360619,,,20,2000
main,50,ar1,0.25,20,share_iters_ge50pct_bound,0.3981554160125589,,,20,2000
main,50,ar1,0.25,20,share_runs_noisy_no_gain_clean_gain,0.1455,,,20,2000
main,50,ar1,0.25,20,share_runs_deployed_exceeds_bound,0.376,,,20,2000
main,50,ar1,0.25,early/late,raw_ratio,4.4004900273322205,2.9590276189759868,8.00831273079634,20,4000
main,50,ar1,0.25,early/late,bound_ratio,5.261710101248608,3.55821249644663,8.849883414073973,20,4000
main,50,ar1,0.25,early/late,normalised_ratio,0.8363231616063342,0.5320661546569366,1.5009052602026012,20,4000
main,50,ar1,0.25,early/late,normalised_task_ratio,0.41023801302250473,0.23921445172252856,0.7877178405920151,20,4000
main,50,ar1,0.25,early/late,deployed_ratio,2.212517865321214,1.8408175629904748,2.8058602084500084,20,4000
main,50,ar1,0.25,early/late,inst_ratio,0.35317026060263085,0.1105139293980175,0.4794045889786665,20,4000
main,50,ar1,0.25,early/late,inst_diff,0.05006881922244211,0.03413061803506608,0.06763023232652994,20,4000
main,50,ar1,0.25,early/late,mechanical_log_share,1.12063053591752,,,20,4000
main,50,ar1,1.0,0,excess,0.11533291085239912,0.09095750682942282,0.14082231630293815,20,2000
main,50,ar1,1.0,0,bound,0.3460289878509695,0.2882900209786484,0.4089957903577972,20,2000
main,50,ar1,1.0,0,normalised,0.3333041880932577,0.29677786214156143,0.36954742924715844,20,2000
main,50,ar1,1.0,0,median_run_ratio,0.2997780865795872,0.25588876667752375,0.34838813307235933,20,2000
main,50,ar1,1.0,0,bound_task,0.8069627164041698,0.6735473594319363,0.943049618697747,20,2000
main,50,ar1,1.0,0,normalised_task,0.14292222987243225,0.10639552180416777,0.18533696702994948,20,2000
main,50,ar1,1.0,0,deployed,0.27246563423000014,0.242880859787618,0.3023857003990517,20,2000
main,50,ar1,1.0,0,bound_final,0.4826932063569712,0.4061970424767386,0.5595766785427135,20,2000
main,50,ar1,1.0,0,inst_excess,0.0900770618624531,0.065381971273232,0.1145807362788764,20,2000
main,50,ar1,1.0,0,share_bound_zero,0.0045,,,20,2000
main,50,ar1,1.0,0,share_prefix_identical,1.0,,,20,2000
main,50,ar1,1.0,0,n_bound_violations,0.0,,,20,2000
main,50,ar1,1.0,0,max_violation,0.0,,,20,2000
main,50,ar1,1.0,0,share_iters_bound_binds,0.08921442786655519,,,20,2000
main,50,ar1,1.0,0,share_iters_ge90pct_bound,0.14247694862162766,,,20,2000
main,50,ar1,1.0,0,share_iters_ge50pct_bound,0.3644885125825787,,,20,2000
main,50,ar1,1.0,0,share_runs_noisy_no_gain_clean_gain,0.041,,,20,2000
main,50,ar1,1.0,0,share_runs_deployed_exceeds_bound,0.2315,,,20,2000
main,50,ar1,1.0,20,excess,0.024231341127146318,0.015353176651370598,0.03427395999515397,20,2000
main,50,ar1,1.0,20,bound,0.0657635979923821,0.04042189499356116,0.09362413322965624,20,2000
main,50,ar1,1.0,20,normalised,0.3684613048384795,0.2832676120947304,0.4635975616108745,20,2000
main,50,ar1,1.0,20,median_run_ratio,0.7074920485279325,0.5045887526051962,0.9189336561856083,20,2000
main,50,ar1,1.0,20,bound_task,0.0752295265537928,0.04704741929001567,0.10573734606871556,20,2000
main,50,ar1,1.0,20,normalised_task,0.322098811958091,0.251511445153768,0.39595407888293827,20,2000
main,50,ar1,1.0,20,deployed,0.1294236434932274,0.10729105861390284,0.1507271423196139,20,2000
main,50,ar1,1.0,20,bound_final,0.10055276152342034,0.059472802476130515,0.14471801258671407,20,2000
main,50,ar1,1.0,20,inst_excess,-0.0440631047542222,-0.09473154985140095,0.0026020033877007897,20,2000
main,50,ar1,1.0,20,share_bound_zero,0.2825,,,20,2000
main,50,ar1,1.0,20,share_prefix_identical,1.0,,,20,2000
main,50,ar1,1.0,20,n_bound_violations,0.0,,,20,2000
main,50,ar1,1.0,20,max_violation,0.0,,,20,2000
main,50,ar1,1.0,20,share_iters_bound_binds,0.402220228750841,,,20,2000
main,50,ar1,1.0,20,share_iters_ge90pct_bound,0.4501850190625701,,,20,2000
main,50,ar1,1.0,20,share_iters_ge50pct_bound,0.607871720116618,,,20,2000
main,50,ar1,1.0,20,share_runs_noisy_no_gain_clean_gain,0.241,,,20,2000
main,50,ar1,1.0,20,share_runs_deployed_exceeds_bound,0.5955,,,20,2000
main,50,ar1,1.0,early/late,raw_ratio,4.759658586259261,3.4061666468471348,7.538458757002256,20,4000
main,50,ar1,1.0,early/late,bound_ratio,5.261710101248608,3.55821249644663,8.849883414073973,20,4000
main,50,ar1,1.0,early/late,normalised_ratio,0.9045839650363463,0.7104001749741702,1.1936003506624537,20,4000
main,50,ar1,1.0,early/late,normalised_task_ratio,0.4437216921216965,0.3061122354154563,0.6387095106111085,20,4000
main,50,ar1,1.0,early/late,deployed_ratio,2.105223024757899,1.8337898866564577,2.4595889251033793,20,4000
main,50,ar1,1.0,early/late,inst_ratio,-2.044274055695582,-16.26005351619832,7.766045121557315,20,4000
main,50,ar1,1.0,early/late,inst_diff,0.1341401666166753,0.09778985898985497,0.17310359117646573,20,4000
main,50,ar1,1.0,early/late,mechanical_log_share,1.0642748971734415,,,20,4000
main,50,ar1,5.0,0,excess,0.20778405386727497,0.15965640570023923,0.2563061670919764,20,2000
main,50,ar1,5.0,0,bound,0.3460289878509695,0.2882900209786484,0.4089957903577972,20,2000
main,50,ar1,5.0,0,normalised,0.6004816392919227,0.5271377696528008,0.663946889687658,20,2000
main,50,ar1,5.0,0,median_run_ratio,0.6846199430704333,0.5986292790412626,0.7680130655743224,20,2000
main,50,ar1,5.0,0,bound_task,0.8069627164041698,0.6735473594319363,0.943049618697747,20,2000
main,50,ar1,5.0,0,normalised_task,0.25748903839468795,0.1853063595342695,0.3425605573149943,20,2000
main,50,ar1,5.0,0,deployed,0.6995601947557712,0.6305416205489907,0.769960311207407,20,2000
main,50,ar1,5.0,0,bound_final,0.4826932063569712,0.4061970424767386,0.5595766785427135,20,2000
main,50,ar1,5.0,0,inst_excess,0.43635273281843345,0.3566084746195146,0.5150201031517512,20,2000
main,50,ar1,5.0,0,share_bound_zero,0.0045,,,20,2000
main,50,ar1,5.0,0,share_prefix_identical,1.0,,,20,2000
main,50,ar1,5.0,0,n_bound_violations,0.0,,,20,2000
main,50,ar1,5.0,0,max_violation,0.0,,,20,2000
main,50,ar1,5.0,0,share_iters_bound_binds,0.30770498946054475,,,20,2000
main,50,ar1,5.0,0,share_iters_ge90pct_bound,0.39096079793685745,,,20,2000
main,50,ar1,5.0,0,share_iters_ge50pct_bound,0.6471578798619861,,,20,2000
main,50,ar1,5.0,0,share_runs_noisy_no_gain_clean_gain,0.201,,,20,2000
main,50,ar1,5.0,0,share_runs_deployed_exceeds_bound,0.708,,,20,2000
main,50,ar1,5.0,20,excess,0.045943763681432395,0.02838714450388124,0.06457261875259931,20,2000
main,50,ar1,5.0,20,bound,0.0657635979923821,0.04042189499356116,0.09362413322965624,20,2000
main,50,ar1,5.0,20,normalised,0.6986199825434493,0.6431547821750988,0.7581874920348205,20,2000
main,50,ar1,5.0,20,median_run_ratio,1.0,0.9579186273255113,1.0,20,2000
main,50,ar1,5.0,20,bound_task,0.0752295265537928,0.04704741929001567,0.10573734606871556,20,2000
main,50,ar1,5.0,20,normalised_task,0.6107145131184676,0.5648779165094722,0.6547721889551378,20,2000
main,50,ar1,5.0,20,deployed,0.3904490057527309,0.33715074911554266,0.44450304279904423,20,2000
main,50,ar1,5.0,20,bound_final,0.10055276152342034,0.059472802476130515,0.14471801258671407,20,2000
main,50,ar1,5.0,20,inst_excess,0.19255180193613103,0.11964313844706403,0.261432804015741,20,2000
main,50,ar1,5.0,20,share_bound_zero,0.2825,,,20,2000
main,50,ar1,5.0,20,share_prefix_identical,1.0,,,20,2000
main,50,ar1,5.0,20,n_bound_violations,0.0,,,20,2000
main,50,ar1,5.0,20,max_violation,0.0,,,20,2000
main,50,ar1,5.0,20,share_iters_bound_binds,0.6149641175151379,,,20,2000
main,50,ar1,5.0,20,share_iters_ge90pct_bound,0.668339313747477,,,20,2000
main,50,ar1,5.0,20,share_iters_ge50pct_bound,0.8203072437766316,,,20,2000
main,50,ar1,5.0,20,share_runs_noisy_no_gain_clean_gain,0.3945,,,20,2000
main,50,ar1,5.0,20,share_runs_deployed_exceeds_bound,0.8335,,,20,2000
main,50,ar1,5.0,early/late,raw_ratio,4.522573625182743,3.1792937988275582,7.334671852635062,20,4000
main,50,ar1,5.0,early/late,bound_ratio,5.261710101248608,3.55821249644663,8.849883414073973,20,4000
main,50,ar1,5.0,early/late,normalised_ratio,0.8595254276949871,0.7557136761277359,0.9733179796404123,20,4000
main,50,ar1,5.0,early/late,normalised_task_ratio,0.4216193210799622,0.30476972076593895,0.5649538330405793,20,4000
main,50,ar1,5.0,early/late,deployed_ratio,1.7916813321297038,1.6209727116014239,2.000872605432236,20,4000
main,50,ar1,5.0,early/late,inst_ratio,2.266157618006455,1.7815574165474062,3.355567401621936,20,4000
main,50,ar1,5.0,early/late,inst_diff,0.24380093088230242,0.17911317148149822,0.3071412795026856,20,4000
main,50,ar1,5.0,early/late,mechanical_log_share,1.100309293173332,,,20,4000
main,50,bias,0.05,0,excess,0.011690444279986813,0.007186146640681651,0.01707008669924702,20,2000
main,50,bias,0.05,0,bound,0.3460289878509695,0.2882900209786484,0.4089957903577972,20,2000
main,50,bias,0.05,0,normalised,0.03378458074449458,0.021169117044057946,0.0474887020003772,20,2000
main,50,bias,0.05,0,median_run_ratio,0.008728155406759645,0.0018539521671604303,0.020628606969288133,20,2000
main,50,bias,0.05,0,bound_task,0.8069627164041698,0.6735473594319363,0.943049618697747,20,2000
main,50,bias,0.05,0,normalised_task,0.014486969524539492,0.008847198978202811,0.021744053210185632,20,2000
main,50,bias,0.05,0,deployed,0.015172912755063921,0.010125974725074528,0.019851654447011917,20,2000
main,50,bias,0.05,0,bound_final,0.4826932063569712,0.4061970424767386,0.5595766785427135,20,2000
main,50,bias,0.05,0,inst_excess,-0.03438212277414184,-0.05084066772386178,-0.018982753752188365,20,2000
main,50,bias,0.05,0,share_bound_zero,0.0045,,,20,2000
main,50,bias,0.05,0,share_prefix_identical,1.0,,,20,2000
main,50,bias,0.05,0,n_bound_violations,0.0,,,20,2000
main,50,bias,0.05,0,max_violation,0.0,,,20,2000
main,50,bias,0.05,0,share_iters_bound_binds,0.021149566057066145,,,20,2000
main,50,bias,0.05,0,share_iters_ge90pct_bound,0.0269079946772807,,,20,2000
main,50,bias,0.05,0,share_iters_ge50pct_bound,0.08496331798537429,,,20,2000
main,50,bias,0.05,0,share_runs_noisy_no_gain_clean_gain,0.007,,,20,2000
main,50,bias,0.05,0,share_runs_deployed_exceeds_bound,0.0175,,,20,2000
main,50,bias,0.05,20,excess,0.002121350268670247,0.00033541373668104967,0.0038407321119890174,20,2000
main,50,bias,0.05,20,bound,0.0657635979923821,0.04042189499356116,0.09362413322965624,20,2000
main,50,bias,0.05,20,normalised,0.03225721118415661,0.005338498691807212,0.06268455804066551,20,2000
main,50,bias,0.05,20,median_run_ratio,0.10459260082073674,0.05264414534539173,0.1997290117708212,20,2000
main,50,bias,0.05,20,bound_task,0.0752295265537928,0.04704741929001567,0.10573734606871556,20,2000
main,50,bias,0.05,20,normalised_task,0.02819837324316241,0.004665888738221599,0.05408356845531467,20,2000
main,50,bias,0.05,20,deployed,0.008803707262226531,0.004824591214384811,0.012375019297209472,20,2000
main,50,bias,0.05,20,bound_final,0.10055276152342034,0.059472802476130515,0.14471801258671407,20,2000
main,50,bias,0.05,20,inst_excess,-0.05378723050471853,-0.07775187208776174,-0.03105526932538584,20,2000
main,50,bias,0.05,20,share_bound_zero,0.2825,,,20,2000
main,50,bias,0.05,20,share_prefix_identical,1.0,,,20,2000
main,50,bias,0.05,20,n_bound_violations,0.0,,,20,2000
main,50,bias,0.05,20,max_violation,0.0,,,20,2000
main,50,bias,0.05,20,share_iters_bound_binds,0.17018950437317784,,,20,2000
main,50,bias,0.05,20,share_iters_ge90pct_bound,0.18972863870823053,,,20,2000
main,50,bias,0.05,20,share_iters_ge50pct_bound,0.2633998654406818,,,20,2000
main,50,bias,0.05,20,share_runs_noisy_no_gain_clean_gain,0.1055,,,20,2000
main,50,bias,0.05,20,share_runs_deployed_exceeds_bound,0.2445,,,20,2000
main,50,bias,0.05,early/late,raw_ratio,5.510850542996317,2.578553869914253,21.362019309064333,20,4000
main,50,bias,0.05,early/late,bound_ratio,5.261710101248608,3.55821249644663,8.849883414073973,20,4000
main,50,bias,0.05,early/late,normalised_ratio,1.047349708926113,0.45133761228547997,4.279547381439825,20,4000
main,50,bias,0.05,early/late,normalised_task_ratio,0.5137519600728144,0.20509289414877804,2.212122905374868,20,4000
main,50,bias,0.05,early/late,deployed_ratio,1.7234685687659457,1.1623622403726546,2.8023399761712,20,4000
main,50,bias,0.05,early/late,inst_ratio,0.6392246347602084,0.5397953671401664,0.7385699652443763,20,4000
main,50,bias,0.05,early/late,inst_diff,0.019405107730576687,0.01044049882522179,0.029353855435726314,20,4000
main,50,bias,0.05,early/late,mechanical_log_share,0.9728936706986897,,,20,4000
main,50,bias,0.25,0,excess,0.059133664682551476,0.043594408829844895,0.07598612943312857,20,2000
main,50,bias,0.25,0,bound,0.3460289878509695,0.2882900209786484,0.4089957903577972,20,2000
main,50,bias,0.25,0,normalised,0.17089222798877077,0.1376775175542289,0.2036212222423888,20,2000
main,50,bias,0.25,0,median_run_ratio,0.10562092955927463,0.07558216690893581,0.13385269947620476,20,2000
main,50,bias,0.25,0,bound_task,0.8069627164041698,0.6735473594319363,0.943049618697747,20,2000
main,50,bias,0.25,0,normalised_task,0.07327930210462684,0.05286723985565585,0.09688238912256811,20,2000
main,50,bias,0.25,0,deployed,0.09380657146746132,0.07628113502593442,0.11149074882012498,20,2000
main,50,bias,0.25,0,bound_final,0.4826932063569712,0.4061970424767386,0.5595766785427135,20,2000
main,50,bias,0.25,0,inst_excess,-0.016327304048036752,-0.0385358517287774,0.003910559828683123,20,2000
main,50,bias,0.25,0,share_bound_zero,0.0045,,,20,2000
main,50,bias,0.25,0,share_prefix_identical,1.0,,,20,2000
main,50,bias,0.25,0,n_bound_violations,0.0,,,20,2000
main,50,bias,0.25,0,max_violation,0.0,,,20,2000
main,50,bias,0.25,0,share_iters_bound_binds,0.04280549700302641,,,20,2000
main,50,bias,0.25,0,share_iters_ge90pct_bound,0.07040827141158044,,,20,2000
main,50,bias,0.25,0,share_iters_ge50pct_bound,0.2188438394234506,,,20,2000
main,50,bias,0.25,0,share_runs_noisy_no_gain_clean_gain,0.014,,,20,2000
main,50,bias,0.25,0,share_runs_deployed_exceeds_bound,0.0565,,,20,2000
main,50,bias,0.25,20,excess,0.013840162617267443,0.008351407673937545,0.01983522415548881,20,2000
main,50,bias,0.25,20,bound,0.0657635979923821,0.04042189499356116,0.09362413322965624,20,2000
main,50,bias,0.25,20,normalised,0.21045324525690726,0.1435931612183844,0.28811893935228217,20,2000
main,50,bias,0.25,20,median_run_ratio,0.4113476779617544,0.25423869990229503,0.6270312801563809,20,2000
main,50,bias,0.25,20,bound_task,0.0752295265537928,0.04704741929001567,0.10573734606871556,20,2000
main,50,bias,0.25,20,normalised_task,0.18397248063725416,0.12762415214483686,0.24620378117443492,20,2000
main,50,bias,0.25,20,deployed,0.04539740123788012,0.03447414127488633,0.05608212321925263,20,2000
main,50,bias,0.25,20,bound_final,0.10055276152342034,0.059472802476130515,0.14471801258671407,20,2000
main,50,bias,0.25,20,inst_excess,-0.08874798817115113,-0.13442479879810712,-0.048128505030172956,20,2000
main,50,bias,0.25,20,share_bound_zero,0.2825,,,20,2000
main,50,bias,0.25,20,share_prefix_identical,1.0,,,20,2000
main,50,bias,0.25,20,n_bound_violations,0.0,,,20,2000
main,50,bias,0.25,20,max_violation,0.0,,,20,2000
main,50,bias,0.25,20,share_iters_bound_binds,0.30589818344920383,,,20,2000
main,50,bias,0.25,20,share_iters_ge90pct_bound,0.3427337968154295,,,20,2000
main,50,bias,0.25,20,share_iters_ge50pct_bound,0.47642408611796366,,,20,2000
main,50,bias,0.25,20,share_runs_noisy_no_gain_clean_gain,0.1815,,,20,2000
main,50,bias,0.25,20,share_runs_deployed_exceeds_bound,0.4305,,,20,2000
main,50,bias,0.25,early/late,raw_ratio,4.272613430768101,2.8695198564307276,7.072274903216895,20,4000
main,50,bias,0.25,early/late,bound_ratio,5.261710101248608,3.55821249644663,8.849883414073973,20,4000
main,50,bias,0.25,early/late,normalised_ratio,0.8120199229057122,0.5917994029699898,1.1275122158898643,20,4000
main,50,bias,0.25,early/late,normalised_task_ratio,0.3983166495923624,0.2606865454860432,0.6019469335130686,20,4000
main,50,bias,0.25,early/late,deployed_ratio,2.066342321577386,1.643062396581026,2.683604479165441,20,4000
main,50,bias,0.25,early/late,inst_ratio,0.18397379348531742,-0.07563598067640556,0.32182864464245653,20,4000
main,50,bias,0.25,early/late,inst_diff,0.07242068412311438,0.04674016483521237,0.10035740783971003,20,4000
main,50,bias,0.25,early/late,mechanical_log_share,1.1433870821305354,,,20,4000
main,50,bias,1.0,0,excess,0.14741780604540883,0.11457074993086733,0.1820234033241174,20,2000
main,50,bias,1.0,0,bound,0.3460289878509695,0.2882900209786484,0.4089957903577972,20,2000
main,50,bias,1.0,0,normalised,0.4260273307186041,0.3737069656111548,0.4756408644984182,20,2000
main,50,bias,1.0,0,median_run_ratio,0.4221037595789901,0.3781831318060451,0.4857968640140284,20,2000
main,50,bias,1.0,0,bound_task,0.8069627164041698,0.6735473594319363,0.943049618697747,20,2000
main,50,bias,1.0,0,normalised_task,0.18268230123729057,0.1336820606211902,0.23914659603027316,20,2000
main,50,bias,1.0,0,deployed,0.30884917964633624,0.27594130211809254,0.34258016358053583,20,2000
main,50,bias,1.0,0,bound_final,0.4826932063569712,0.4061970424767386,0.5595766785427135,20,2000
main,50,bias,1.0,0,inst_excess,0.12215915642119732,0.09567086676811881,0.14849430471673025,20,2000
main,50,bias,1.0,0,share_bound_zero,0.0045,,,20,2000
main,50,bias,1.0,0,share_prefix_identical,1.0,,,20,2000
main,50,bias,1.0,0,n_bound_violations,0.0,,,20,2000
main,50,bias,1.0,0,max_violation,0.0,,,20,2000
main,50,bias,1.0,0,share_iters_bound_binds,0.1678305208492799,,,20,2000
main,50,bias,1.0,0,share_iters_ge90pct_bound,0.23534191405928,,,20,2000
main,50,bias,1.0,0,share_iters_ge50pct_bound,0.47318032478008454,,,20,2000
main,50,bias,1.0,0,share_runs_noisy_no_gain_clean_gain,0.087,,,20,2000
main,50,bias,1.0,0,share_runs_deployed_exceeds_bound,0.28,,,20,2000
main,50,bias,1.0,20,excess,0.03239894369137748,0.020314458406448042,0.045331613303778606,20,2000
main,50,bias,1.0,20,bound,0.0657635979923821,0.04042189499356116,0.09362413322965624,20,2000
main,50,bias,1.0,20,normalised,0.4926577115675833,0.41178856597693697,0.5803683266689602,20,2000
main,50,bias,1.0,20,median_run_ratio,0.9431532144574268,0.7047399385958206,1.0,20,2000
main,50,bias,1.0,20,bound_task,0.0752295265537928,0.04704741929001567,0.10573734606871556,20,2000
main,50,bias,1.0,20,normalised_task,0.43066791957291733,0.3652091708706018,0.49813085018991626,20,2000
main,50,bias,1.0,20,deployed,0.15048808102829453,0.12434477630721293,0.1753243238002044,20,2000
main,50,bias,1.0,20,bound_final,0.10055276152342034,0.059472802476130515,0.14471801258671407,20,2000
main,50,bias,1.0,20,inst_excess,-0.02939205541161851,-0.08729514235951367,0.023940978789809077,20,2000
main,50,bias,1.0,20,share_bound_zero,0.2825,,,20,2000
main,50,bias,1.0,20,share_prefix_identical,1.0,,,20,2000
main,50,bias,1.0,20,n_bound_violations,0.0,,,20,2000
main,50,bias,1.0,20,max_violation,0.0,,,20,2000
main,50,bias,1.0,20,share_iters_bound_binds,0.5005326306346715,,,20,2000
main,50,bias,1.0,20,share_iters_ge90pct_bound,0.5555898183449204,,,20,2000
main,50,bias,1.0,20,share_iters_ge50pct_bound,0.6932608208118413,,,20,2000
main,50,bias,1.0,20,share_runs_noisy_no_gain_clean_gain,0.324,,,20,2000
main,50,bias,1.0,20,share_runs_deployed_exceeds_bound,0.637,,,20,2000
main,50,bias,1.0,early/late,raw_ratio,4.550080627617559,3.1691895333799933,7.430945046588105,20,4000
main,50,bias,1.0,early/late,bound_ratio,5.261710101248608,3.55821249644663,8.849883414073973,20,4000
main,50,bias,1.0,early/late,normalised_ratio,0.8647531962161547,0.716650615637207,1.059022670360044,20,4000
main,50,bias,1.0,early/late,normalised_task_ratio,0.424183675947937,0.3000839260895601,0.5879177992147234,20,4000
