dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_x0,delta_excess_x1,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
iso_eggholder,composite,ei,extra_trees,gaussian,0.781998,0,11,"x0,x1",0.0,0.0,0.0,0.05299962145607484,-41.44674801819562,-0.8289349603639122,1.153778936107848
iso_eggholder,composite,ei,extra_trees,gaussian,3.909988,0,11,"x0,x1",0.0,0.0,0.0,-0.23719771099358056,24.136122543133425,0.4827224508626684,-10.410401788333822
iso_eggholder,composite,random,extra_trees,gaussian,0.195499,0,11,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,random,extra_trees,gaussian,0.781998,0,11,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,random,extra_trees,gaussian,3.909988,0,11,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,sobol,extra_trees,gaussian,0.195499,0,11,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,sobol,extra_trees,gaussian,0.781998,0,11,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,sobol,extra_trees,gaussian,3.909988,0,11,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,logei,extra_trees,gaussian,0.195499,0,9,"x0,x1",0.0,0.0,0.0,0.011055730449594847,-20.694286156296613,-0.4138857231259323,2.6025674809076733
iso_eggholder,composite,logei,extra_trees,gaussian,0.781998,0,9,"x0,x1",0.0,0.0,0.0,0.27261686273259134,-11.61982533855334,-0.23239650677106694,8.62787495518348
iso_eggholder,composite,logei,extra_trees,gaussian,3.909988,0,9,"x0,x1",0.0,0.0,0.0,0.7047187546085176,17.607530724187825,0.3521506144837563,21.107466872194387
iso_eggholder,composite,qnei,extra_trees,gaussian,0.195499,0,9,"x0,x1",0.0,0.0,0.0,-0.311713477659612,7.437092656730158,0.1487418531346032,-11.244070539421593
iso_eggholder,composite,qnei,extra_trees,gaussian,0.781998,0,9,"x0,x1",0.0,0.0,0.0,-0.2600924587029567,-2.3954118613433764,-0.047908237226867545,-0.14701104826821165
iso_eggholder,composite,qnei,extra_trees,gaussian,3.909988,0,9,"x0,x1",0.0,0.0,0.0,0.36581552672896356,23.052114207124163,0.46104228414248327,13.718082252336146
iso_eggholder,composite,ucb,extra_trees,gaussian,0.195499,0,9,"x0,x1",0.0,0.0,0.0,0.8644853361533444,52.88772278169414,1.0577544556338827,31.88931895646867
iso_eggholder,composite,ucb,extra_trees,gaussian,0.781998,0,9,"x0,x1",0.0,0.0,0.0,0.7011545146446263,14.455116635122167,0.28910233270244357,8.825219002023822
iso_eggholder,composite,ucb,extra_trees,gaussian,3.909988,0,9,"x0,x1",0.0,0.0,0.0,1.0672252667995188,60.24841487968949,1.20496829759379,23.882909788641967
iso_eggholder,composite,ei,extra_trees,gaussian,0.195499,0,9,"x0,x1",0.0,0.0,0.0,-0.11764134194516407,-16.4816203024143,-0.3296324060482858,-1.1582604580837597
iso_eggholder,composite,ei,extra_trees,gaussian,0.781998,0,9,"x0,x1",0.0,0.0,0.0,0.5252044780853211,36.735784699424386,0.7347156939884876,5.196000783231057
iso_eggholder,composite,ei,extra_trees,gaussian,3.909988,0,9,"x0,x1",0.0,0.0,0.0,0.662372292583483,1.1120391898834328,0.022240783797668584,9.050209487248111
iso_eggholder,composite,random,extra_trees,gaussian,0.195499,0,9,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,random,extra_trees,gaussian,0.781998,0,9,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,random,extra_trees,gaussian,3.909988,0,9,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,sobol,extra_trees,gaussian,0.195499,0,9,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,sobol,extra_trees,gaussian,0.781998,0,9,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,sobol,extra_trees,gaussian,3.909988,0,9,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,logei,extra_trees,gaussian,0.195499,0,7,"x0,x1",0.0,0.0,0.0,-0.34314138909590053,-6.05658195101077,-0.12113163902021551,-11.218421055720462
iso_eggholder,composite,logei,extra_trees,gaussian,0.781998,0,7,"x0,x1",0.0,0.0,0.0,-0.20423011630137866,-20.712824356410934,-0.41425648712821905,-8.125125789175634
iso_eggholder,composite,logei,extra_trees,gaussian,3.909988,0,7,"x0,x1",0.0,0.0,0.0,0.11315223595572776,10.348272178106328,0.20696544356212643,0.46132773838921537
iso_eggholder,composite,qnei,extra_trees,gaussian,0.195499,0,7,"x0,x1",0.0,0.0,0.0,-0.2124935414374849,-7.826670053794487,-0.15653340107588942,5.216959942354556
iso_eggholder,composite,qnei,extra_trees,gaussian,0.781998,0,7,"x0,x1",0.0,0.0,0.0,-0.12408983066741497,-4.805728820366596,-0.09611457640733168,-3.7743557893982285
iso_eggholder,composite,qnei,extra_trees,gaussian,3.909988,0,7,"x0,x1",0.0,0.0,0.0,-0.4118322202565974,16.46003655982466,0.3292007311964933,21.528068439571435
iso_eggholder,composite,ucb,extra_trees,gaussian,0.195499,0,7,"x0,x1",0.0,0.0,0.0,-0.003300560930369123,-5.195354382135378,-0.10390708764270773,5.754448075114318
iso_eggholder,composite,ucb,extra_trees,gaussian,0.781998,0,7,"x0,x1",0.0,0.0,0.0,0.20430246758381276,-4.807227540380822,-0.09614455080761664,12.296985991985565
iso_eggholder,composite,ucb,extra_trees,gaussian,3.909988,0,7,"x0,x1",0.0,0.0,0.0,0.3031998811906744,48.164173483985536,0.9632834696797108,11.623641753776838
iso_eggholder,composite,ei,extra_trees,gaussian,0.195499,0,7,"x0,x1",0.0,0.0,0.0,-0.15350344504971059,9.785633285197235,0.19571266570394474,-5.640302681748494
iso_eggholder,composite,ei,extra_trees,gaussian,0.781998,0,7,"x0,x1",0.0,0.0,0.0,-0.18820953185386502,-18.727284520219186,-0.3745456904043838,-5.8153351579380015
iso_eggholder,composite,ei,extra_trees,gaussian,3.909988,0,7,"x0,x1",0.0,0.0,0.0,1.0721633695215005,62.016382334958536,1.2403276466991708,43.51097690622795
iso_eggholder,composite,random,extra_trees,gaussian,0.195499,0,7,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,random,extra_trees,gaussian,0.781998,0,7,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,random,extra_trees,gaussian,3.909988,0,7,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,sobol,extra_trees,gaussian,0.195499,0,7,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,sobol,extra_trees,gaussian,0.781998,0,7,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,sobol,extra_trees,gaussian,3.909988,0,7,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,logei,extra_trees,gaussian,0.195499,0,8,"x0,x1",0.0,0.0,0.0,-1.1094132369421752,-16.18870138051608,-0.3237740276103218,-35.567273503948314
iso_eggholder,composite,logei,extra_trees,gaussian,0.781998,0,8,"x0,x1",0.0,0.0,0.0,0.23789716350347456,12.732687559053417,0.25465375118106826,5.293032600048932
iso_eggholder,composite,logei,extra_trees,gaussian,3.909988,0,8,"x0,x1",0.0,0.0,0.0,0.6444013372931578,43.46191072525163,0.8692382145050326,-5.457354073277656
iso_eggholder,composite,qnei,extra_trees,gaussian,0.195499,0,8,"x0,x1",0.0,0.0,0.0,-0.30920051288215156,1.0945311857853426,0.021890623715706603,-27.079811207086586
