dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,variant,acquisition,metric,n_pairs,mean_diff,median_diff,std_diff,cohens_dz,ci95_low,ci95_high,dz_ci95_low,dz_ci95_high,t_stat,p_value_t,wilcoxon_stat,p_value_wilcoxon,p_value_t_fdr_bh,p_value_wilcoxon_fdr_bh
hicks_law,value,exact,drift,20,0.25,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hicks_law,value,exact,drift,20,0.25,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hicks_law,value,exact,drift,20,1.0,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hicks_law,value,exact,drift,20,1.0,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hicks_law,value,exact,drift,20,5.0,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hicks_law,value,exact,drift,20,5.0,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hicks_law,value,exact,gaussian,0,0.05,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,-0.22390221636801827,0.032658030361147894,1.1490493444058145,-0.1948586607338438,-1.6506354194763557,1.2028309867403193,-1.0695983109136995,0.7027167288054843,-0.43571721140544384,0.6855242430151033,7.0,1.0,0.6855242430151033,1.0
hicks_law,value,exact,gaussian,0,0.05,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,-0.5296943018806886,-0.11558478697872943,1.5229777089282799,-0.3478017431085283,-2.420720893123785,1.3613322893624078,,,-0.7777083402835883,0.48017402360513123,4.0,0.4375,0.580380025500639,0.5833333333333334
hicks_law,value,exact,gaussian,0,0.25,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,0.6087355645818896,0.8437985409543032,2.1947022506375053,0.2773658998185596,-2.1163472068114753,3.3338183359752542,-0.6344371358522253,1.1574381783905392,0.6202090066346959,0.568707383427347,5.0,0.625,0.60662120898917,0.7692307692307693
hicks_law,value,exact,gaussian,0,0.25,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,-1.8052472990793653,-0.7952454754954594,3.234005181855826,-0.5582079179116926,-5.820795103394162,2.2103005052354314,,,-1.2481908500291667,0.2800352398695725,3.0,0.3125,0.448056383791316,0.45454545454545453
hicks_law,value,exact,gaussian,0,1.0,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,49.8191410686374,50.44031813739741,37.029757607087845,1.3453812362817505,3.8406241857044634,95.79765795157033,0.056174858310827906,2.5653498529305785,3.008363899978701,0.03961412311165725,1.0,0.125,0.12676519395730318,0.2857142857142857
hicks_law,value,exact,gaussian,0,1.0,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,15.294852476577953,8.928018930689664,19.810418230495795,0.7720610589146137,-9.303030629588195,39.8927355827441,-0.2783452072942774,1.7561138869268793,1.7263810105135464,0.159355736505572,2.0,0.1875,0.318711473011144,0.375
hicks_law,value,exact,gaussian,0,5.0,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,84.81167886313315,95.02045676854789,36.19405276628029,2.343249025214077,39.87082659415556,129.75253113211073,0.5369984773234042,4.109933167470836,5.239664108588795,0.006341714983089273,0.0,0.0625,0.04203266966037616,0.2
hicks_law,value,exact,gaussian,0,5.0,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,54.86474859461673,56.133016614690916,24.892068311350563,2.2041056576081663,23.95716353158397,85.77233365764948,0.4747708245069805,3.8890631169472836,4.928530080003736,0.00788112556132053,0.0,0.0625,0.04203266966037616,0.2
hicks_law,value,exact,gaussian,20,0.05,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hicks_law,value,exact,gaussian,20,0.05,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
