iter	Passed	Remaining
397	667	674
398	668	672
399	670	670
400	671	668
401	672	666
402	674	664
403	675	662
404	677	660
405	678	658
406	680	656
407	681	654
408	683	653
409	684	651
410	685	649
411	687	647
412	689	645
413	691	644
414	693	642
415	695	641
416	697	640
417	699	638
418	701	637
419	703	636
420	705	634
421	707	633
422	709	632
423	711	630
424	713	629
425	715	628
426	717	626
427	719	625
428	721	623
429	723	622
430	725	621
431	727	619
432	729	618
433	731	616
434	733	615
435	735	613
436	737	612
437	739	611
438	741	609
439	743	608
440	745	606
441	747	605
442	749	603
443	751	602
444	753	600
445	755	599
446	757	598
447	759	596
448	761	595
449	763	593
450	765	592
451	767	590
452	768	589
453	770	587
454	771	585
455	773	583
456	774	581
457	775	579
458	777	577
459	778	575
460	780	573
461	781	571
462	783	569
463	784	568
464	785	566
465	787	564
466	788	562
467	789	560
468	791	558
469	792	556
470	793	554
471	795	552
472	796	550
473	798	548
474	799	546
475	800	545
476	802	543
477	803	541
478	805	539
479	806	537
480	807	535
481	809	533
482	810	532
483	812	530
484	813	528
485	815	526
486	817	525
487	819	523
488	821	522
489	823	520
490	825	519
491	827	517
492	829	516
493	831	515
494	833	513
495	835	512
496	837	510
497	839	508
498	841	507
499	843	506
500	845	504
501	847	503
502	849	501
503	851	500
504	853	498
505	855	497
506	857	495
507	859	494
508	861	492
509	863	491
510	865	489
511	867	488
512	869	486
513	871	485
514	873	483
515	875	482
516	877	480
517	879	479
518	881	477
519	884	476
520	886	474
521	888	473
522	889	471
523	890	469
524	892	467
525	893	465
526	894	463
527	896	461
528	897	459
529	899	458
530	900	456
531	901	454
532	903	452
533	904	450
534	906	448
535	907	446
536	908	445
537	910	443
538	911	441
539	913	439
540	914	437
541	916	436
542	917	434
543	918	432
544	920	430
545	921	428
546	922	426
547	924	425
548	925	423
549	927	421
550	928	419
551	929	417
552	931	415
553	932	414
554	934	412
555	935	410
556	937	408
557	938	407
558	940	405
559	942	403
560	944	402
561	946	400
562	948	399
563	950	397
564	952	396
565	954	394
566	956	393
567	958	391
568	960	389
569	961	388
570	963	386
571	964	384
572	965	382
573	967	380
574	968	379
575	970	377
576	971	375
577	972	373
578	974	371
579	975	370
580	977	368
581	978	366
582	979	364
583	981	362
584	982	361
585	983	359
586	985	357
587	986	355
588	988	354
589	989	352
590	991	350
591	992	348
592	993	346
593	995	345
594	996	343
595	997	341
596	999	339
597	1000	337
598	1001	336
599	1003	334
600	1004	332
601	1005	330
602	1007	329
603	1008	327
604	1010	325
605	1011	323
606	1012	321
607	1014	320
608	1015	318
609	1016	316
610	1018	314
611	1019	313
612	1021	311
613	1022	309
614	1024	308
615	1025	306
616	1027	304
617	1028	302
618	1030	301
619	1031	299
620	1033	297
621	1034	296
622	1036	294
623	1037	292
624	1038	290
625	1040	289
626	1041	287
627	1042	285
628	1044	283
629	1046	282
630	1048	280
631	1050	279
632	1052	277
633	1054	276
634	1056	274
635	1058	272
636	1060	271
637	1062	269
638	1064	268
639	1066	266
640	1068	264
641	1070	263
642	1072	261
643	1074	260
644	1076	258
645	1078	257
646	1080	255
647	1082	253
648	1084	252
649	1086	250
650	1088	249
651	1090	247
652	1092	245
653	1094	244
654	1096	242
655	1098	241
656	1100	239
657	1102	237
658	1104	236
659	1106	234
660	1108	233
661	1110	231
662	1112	229
663	1114	228
664	1116	226
665	1117	224
666	1119	223
667	1120	221
668	1121	219
669	1123	217
670	1124	216
671	1126	214
672	1127	212
673	1129	211
674	1130	209
675	1131	207
676	1133	205
677	1134	204
678	1135	202
679	1137	200
680	1138	198
681	1140	197
682	1141	195
683	1142	193
684	1144	192
685	1145	190
686	1147	188
687	1148	186
688	1149	185
689	1151	183
690	1152	181
691	1154	180
692	1155	178
693	1157	176
694	1158	175
695	1160	173
696	1162	171
697	1164	170
698	1166	168
699	1168	166
700	1170	165
701	1172	163
702	1174	162
703	1176	160
704	1179	158
705	1181	157
706	1183	155
707	1185	153
708	1187	152
709	1189	150
710	1191	149
711	1193	147
712	1195	145
713	1197	144
714	1199	142
715	1201	140
716	1203	139
717	1204	137
718	1206	135
719	1208	134
720	1210	132
721	1212	131
722	1215	129
723	1216	127
724	1217	125
725	1219	124
726	1220	122
727	1221	120
728	1223	119
729	1224	117
730	1226	115
731	1227	114
732	1228	112
733	1229	110
734	1231	108
735	1232	107
736	1233	105
737	1235	103
738	1236	102
739	1237	100
740	1239	98
741	1240	96
742	1241	95
743	1243	93
744	1244	91
745	1246	90
746	1247	88
747	1248	86
748	1250	85
749	1251	83
750	1253	81
751	1255	80
752	1257	78
753	1259	76
754	1261	75
755	1263	73
756	1265	71
757	1267	70
758	1269	68
759	1271	66
760	1273	65
761	1275	63
762	1277	61
763	1279	60
764	1281	58
765	1283	56
766	1285	55
767	1287	53
768	1289	51
769	1291	50
770	1293	48
771	1295	46
772	1297	45
773	1299	43
774	1301	41
775	1303	40
776	1305	38
777	1306	36
778	1308	35
779	1309	33
780	1311	31
781	1312	30
782	1313	28
783	1315	26
784	1316	25
785	1318	23
786	1319	21
787	1321	20
788	1322	18
789	1323	16
790	1325	15
791	1326	13
792	1328	11
793	1329	10
794	1331	8
795	1332	6
796	1333	5
797	1335	3
798	1337	1
799	1339	0
