iter	RMSE
206	1.168356526
207	1.167939053
208	1.167784271
209	1.167378889
210	1.167055235
211	1.166665218
212	1.16651992
213	1.166058942
214	1.165676277
215	1.165543024
216	1.165382651
217	1.16522094
218	1.164991145
219	1.164525507
220	1.16413988
221	1.163773472
222	1.163552606
223	1.163438987
224	1.163263349
225	1.163106856
226	1.1626689
227	1.162536897
228	1.16219243
229	1.161897715
230	1.161643863
231	1.161498017
232	1.161329525
233	1.161106963
234	1.160869701
235	1.160791086
236	1.160446837
237	1.160335458
238	1.160124129
239	1.15983572
240	1.159624963
241	1.159434102
242	1.159086351
243	1.15866431
244	1.158298746
245	1.15799641
246	1.157868846
247	1.157560898
248	1.157502047
249	1.157190622
250	1.156804007
251	1.156630714
252	1.156226006
253	1.155884149
254	1.155528352
255	1.155183751
256	1.155051869
257	1.154579406
258	1.154181835
259	1.153825154
260	1.153587387
261	1.153419392
262	1.153234084
263	1.153124561
264	1.152685169
265	1.15255888
266	1.152391265
267	1.152234616
268	1.151779756
269	1.151621979
270	1.151295806
271	1.151052234
272	1.150740609
273	1.150564758
274	1.150348928
275	1.150109281
276	1.149977934
277	1.149807938
278	1.149602917
279	1.149422788
280	1.14914958
281	1.148996134
282	1.14887743
283	1.148832506
284	1.148607853
285	1.148539573
286	1.148245741
287	1.148133852
288	1.148009194
289	1.147892531
290	1.147789386
291	1.147692899
292	1.147516168
293	1.147458324
294	1.147397181
295	1.147090574
296	1.146872457
297	1.146736825
298	1.146609739
299	1.146530381
300	1.14620179
301	1.145950055
302	1.145862649
303	1.145668063
304	1.145588963
305	1.145231855
306	1.145176662
307	1.144911778
308	1.144789509
309	1.144632623
310	1.144442311
311	1.144272111
312	1.144220774
313	1.144113617
314	1.143897899
315	1.143780889
316	1.143673774
317	1.143585104
318	1.143381305
319	1.14314795
320	1.142927634
321	1.142834428
322	1.14268938
323	1.142610623
324	1.142576846
325	1.142474732
326	1.142317082
327	1.142227087
328	1.142112455
329	1.141908407
330	1.141747574
331	1.141559345
332	1.1414077
333	1.14131507
334	1.141224989
335	1.141036646
336	1.140985715
337	1.140876498
338	1.140756392
339	1.140621783
340	1.140458625
341	1.140427669
342	1.140336198
343	1.140254013
344	1.140103751
345	1.140010526
346	1.139969457
347	1.139837534
348	1.139727044
349	1.13957737
350	1.139481589
351	1.139346985
352	1.13916565
353	1.139112822
354	1.139057942
355	1.13898277
356	1.138859699
357	1.138766255
358	1.138674795
359	1.138533692
360	1.138362725
361	1.13818962
362	1.138103803
363	1.138023145
364	1.137974934
365	1.137883844
366	1.137714112
367	1.137641283
368	1.137523082
369	1.13746859
370	1.13737261
371	1.137228372
372	1.137066869
373	1.137022042
374	1.136947717
375	1.136845682
376	1.136707674
377	1.136606996
378	1.136529056
379	1.1364022
380	1.136232221
381	1.13613808
382	1.136082676
383	1.135967833
384	1.135848272
385	1.135740042
386	1.135637025
387	1.135580316
388	1.135508939
389	1.135450266
390	1.135381337
391	1.135266244
392	1.13515067
393	1.135047394
394	1.134990868
395	1.13492636
396	1.1348256
397	1.134693946
398	1.134656316
399	1.134589698
400	1.134540564
401	1.134440047
402	1.134282591
403	1.134167883
404	1.13411124
405	1.134031216
406	1.134000432
407	1.133965259
408	1.13391757
409	1.133768127
410	1.13370618
411	1.133646841
412	1.133569777
413	1.133529593
414	1.133461313
415	1.133395644
416	1.133336539
417	1.133187995
418	1.133158363
419	1.133066153
420	1.132969201
421	1.132870637
422	1.132820221
423	1.132706478
424	1.132638623
425	1.132481585
426	1.132440819
427	1.132411889
428	1.132332426
429	1.132276133
430	1.132186817
431	1.13208396
432	1.132026426
433	1.131972196
434	1.131908686
435	1.131865316
436	1.131804004
437	1.131695524
438	1.131631835
439	1.13155676
440	1.131507983
441	1.13148081
442	1.131420627
443	1.131324753
444	1.131288702
445	1.131267542
446	1.131211375
447	1.131145302
448	1.131096333
449	1.131015954
450	1.130983754
451	1.130958835
452	1.130918205
453	1.130853062
454	1.13079419
455	1.130772513
456	1.130698415
457	1.130652287
458	1.130605482
459	1.1305261
460	1.13044195
461	1.130401197
462	1.130361558
463	1.130324284
464	1.130310194
465	1.130269164
466	1.130186101
467	1.130142928
468	1.130062634
469	1.130017328
470	1.129947984
471	1.129910943
472	1.129886644
473	1.129850068
474	1.129807185
475	1.129744591
476	1.129628874
477	1.129575263
478	1.129513496
479	1.129407697
480	1.12937812
481	1.129344899
482	1.129291065
483	1.129248615
484	1.129207385
485	1.129191503
486	1.129117611
487	1.129070945
488	1.129014607
489	1.128967671
490	1.128923422
491	1.128897558
492	1.128856849
493	1.128831124
494	1.128809133
495	1.12877292
496	1.128716026
497	1.128688504
498	1.128667061
499	1.128639189
500	1.128579958
501	1.128518825
502	1.128464797
503	1.128405736
504	1.128376295
505	1.12831358
506	1.128275503
507	1.12824848
508	1.128208358
509	1.128152389
510	1.128114891
511	1.128061794
512	1.1280176
513	1.127993057
514	1.127967973
515	1.127948508
516	1.127927367
517	1.127870844
518	1.127815961
519	1.127773799
520	1.127730375
521	1.127641682
522	1.127606497
523	1.127594254
524	1.127582517
525	1.127563122
526	1.127535169
527	1.127483094
528	1.12743388
529	1.127386934
530	1.127335534
531	1.127313313
532	1.127305154
533	1.127278695
534	1.127226681
535	1.127200371
536	1.12715659
537	1.127142469
538	1.127129291
539	1.127103217
540	1.127083272
541	1.127066075
542	1.127040036
543	1.126999466
544	1.126991484
545	1.126964022
546	1.126935433
547	1.126882252
548	1.126847773
549	1.126794651
550	1.126750783
551	1.126722514
552	1.126695654
553	1.126659159
554	1.126638698
555	1.126570036
556	1.126549131
557	1.126539895
558	1.126481524
559	1.126472067
560	1.126431826
561	1.126391762
562	1.126363462
563	1.126349176
564	1.12632156
565	1.126286407
566	1.126242615
567	1.126216357
568	1.126188145
569	1.126167506
570	1.126135481
571	1.126084046
572	1.126064598
573	1.126041888
574	1.126005468
575	1.125967745
576	1.125950247
577	1.125894441
578	1.125844282
579	1.125817452
580	1.12579494
581	1.125745018
582	1.125712393
583	1.125696676
584	1.125658114
585	1.125628004
586	1.125606438
587	1.125586562
588	1.125564905
589	1.125543488
590	1.125515665
591	1.125501909
592	1.125457306
593	1.125436699
594	1.125418602
595	1.12539515
596	1.125363507
597	1.125340607
598	1.125316593
599	1.125267066
600	1.125206528
601	1.125187752
602	1.125145752
603	1.125133802
604	1.125107438
605	1.125093788
606	1.125077735
607	1.125070436
608	1.125049171
609	1.125033744
610	1.124984676
611	1.124948586
612	1.124935123
613	1.124917075
614	1.124897578
615	1.124880041
616	1.12486773
617	1.124843219
618	1.124803569
619	1.124765736
620	1.124732916
621	1.124699031
622	1.124677251
623	1.124658698
624	1.124633444
625	1.124603401
626	1.124590185
627	1.124557383
628	1.124536029
629	1.124526475
630	1.124486259
631	1.124474155
632	1.124459252
633	1.124446086
634	1.124425296
635	1.124408714
636	1.124383087
637	1.124367764
638	1.12434612
639	1.12433674
640	1.124310604
641	1.124258391
642	1.124248717
643	1.124232438
644	1.124221066
645	1.124208063
646	1.124192265
647	1.124180834
648	1.124135412
649	1.124103359
650	1.124087167
651	1.124079436
652	1.124067648
653	1.124049382
654	1.124035036
655	1.124009813
656	1.123987841
657	1.123970665
658	1.123947248
659	1.123933684
660	1.123920557
661	1.123904607
662	1.123894511
663	1.123883301
664	1.123861074
665	1.12385608
666	1.123841395
667	1.123828962
668	1.123814918
669	1.12380355
670	1.123780788
671	1.123756147
672	1.123746543
673	1.123714376
674	1.123700106
675	1.123687073
676	1.123660308
677	1.123647142
678	1.123634897
679	1.123626187
680	1.12361604
681	1.123606292
682	1.123591445
683	1.123586083
684	1.123577863
685	1.123569452
686	1.123561983
687	1.123552508
688	1.123539728
689	1.123528823
690	1.123509857
691	1.123489857
692	1.1234746
693	1.123442785
694	1.123434812
695	1.123418813
696	1.12339611
697	1.123383397
698	1.123366833
699	1.123346366
700	1.123341006
701	1.123330021
702	1.123324442
703	1.123310184
704	1.123295743
705	1.123276289
706	1.12326903
707	1.123251785
708	1.123236526
709	1.123218773
710	1.123200024
711	1.123193063
712	1.123177934
713	1.123174064
714	1.123152451
715	1.123134023
716	1.123124678
717	1.123095692
718	1.123075611
719	1.123057921
720	1.123030405
721	1.123014074
722	1.122999118
723	1.122991374
724	1.12298566
725	1.122979343
726	1.122964959
727	1.122949037
728	1.122940571
729	1.122930928
730	1.122923382
731	1.122905058
732	1.122884734
733	1.122874641
734	1.122863623
735	1.122842915
736	1.122825869
737	1.122805811
738	1.12279487
739	1.122785378
740	1.122773924
741	1.122758783
742	1.122744314
743	1.122736052
744	1.122720192
745	1.122713104
746	1.12270644
747	1.122691487
748	1.122677439
749	1.122669363
750	1.122662287
751	1.122651102
752	1.122644154
753	1.122629949
754	1.122615696
755	1.12260414
756	1.122582506
757	1.122575607
758	1.122561455
759	1.122552119
760	1.12254938
761	1.12253462
762	1.122522222
763	1.122505637
764	1.122498708
765	1.122490313
766	1.122484435
767	1.122474196
768	1.122462784
769	1.122441249
770	1.122436936
771	1.122428058
772	1.12241029
773	1.122405828
774	1.122394297
775	1.122383121
776	1.122374741
777	1.122364708
778	1.122356663
779	1.122349038
780	1.122334728
781	1.122321286
782	1.122313144
783	1.122306289
784	1.122296625
785	1.122277173
786	1.122268659
787	1.122262849
788	1.122252046
789	1.122243253
790	1.122237082
791	1.122225664
792	1.122218178
793	1.122202307
794	1.122195438
795	1.122186812
796	1.122176578
797	1.122173368
798	1.122164484
799	1.122157168
