dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_x0,delta_excess_x1,delta_excess_x2,delta_excess_x3,delta_excess_x4,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
iso_michalewicz,composite,ucb,gradient_boosting,gaussian,0.228088,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,-0.17054003038798538,4.800729132473123,0.09601458264946272,22.969303831213253
iso_michalewicz,composite,ucb,gradient_boosting,gaussian,0.912351,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.3326568516041397,11.967104292270193,0.23934208584540384,0.024873767083150256
iso_michalewicz,composite,ucb,gradient_boosting,gaussian,4.561754,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,1.9770644460338276,58.00829018569317,1.1601658037138636,50.77248195000661
iso_michalewicz,composite,ei,gradient_boosting,gaussian,0.228088,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,-0.9021656022238451,-22.325743492905758,-0.4465148698581154,-21.731484860631724
iso_michalewicz,composite,ei,gradient_boosting,gaussian,0.912351,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,-0.638230621061119,-36.59135622524009,-0.731827124504802,-22.407492112875715
iso_michalewicz,composite,ei,gradient_boosting,gaussian,4.561754,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,1.6221750379375273,90.8586566807976,1.8171731336159516,51.42474220220765
iso_michalewicz,composite,random,gradient_boosting,gaussian,0.228088,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_michalewicz,composite,random,gradient_boosting,gaussian,0.912351,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_michalewicz,composite,random,gradient_boosting,gaussian,4.561754,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_michalewicz,composite,sobol,gradient_boosting,gaussian,0.228088,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_michalewicz,composite,sobol,gradient_boosting,gaussian,0.912351,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_michalewicz,composite,sobol,gradient_boosting,gaussian,4.561754,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
