dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_x0,delta_excess_x1,delta_excess_x2,delta_excess_x3,delta_excess_x4,delta_excess_x5,delta_excess_x6,delta_excess_x7,delta_excess_x8,delta_excess_x9,delta_excess_x10,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
iso_levy_10,composite,qnei,gradient_boosting,gaussian,0.948321,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19016539331755844,10.285938490628965,0.20571876981257953,0.19678069948096777
iso_levy_10,composite,qnei,gradient_boosting,gaussian,4.741603,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5913063033985022,74.23378136718402,1.4846756273436807,12.188271613959941
iso_levy_10,composite,ucb,gradient_boosting,gaussian,0.23708,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5693560350701243,-55.60616836894741,-1.1121233673789486,-21.047971020327367
iso_levy_10,composite,ucb,gradient_boosting,gaussian,0.948321,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09235438093134052,-31.265018024852225,-0.6253003604970448,-9.63859109926122
iso_levy_10,composite,ucb,gradient_boosting,gaussian,4.741603,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4367627695853644,43.86138125750006,0.8772276251500006,6.00493870878698
iso_levy_10,composite,ei,gradient_boosting,gaussian,0.23708,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01315198836535103,-26.60938461596136,-0.5321876923192272,-24.665172963756802
iso_levy_10,composite,ei,gradient_boosting,gaussian,0.948321,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6811763011038459,32.940828630212664,0.6588165726042532,5.993807273096905
iso_levy_10,composite,ei,gradient_boosting,gaussian,4.741603,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02435839188120248,19.463405390388502,0.38926810780776977,-8.326294191711497
iso_levy_10,composite,random,gradient_boosting,gaussian,0.23708,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,random,gradient_boosting,gaussian,0.948321,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
