arm,procedure,family,k,error_model,scope,jitter_std,jitter_iteration,n_runs,n_landscapes,claim_rate,claim_rate_lo,claim_rate_hi,false_claim_rate,false_claim_rate_lo,false_claim_rate_hi,false_discovery_share,false_discovery_share_lo,false_discovery_share_hi,power,power_lo,power_hi,size,size_lo,size_hi,truly_better_share,truly_better_share_lo,truly_better_share_hi,clean_claim_rate,shipped_d_share,d_is_c_share
output-boba,confirm_k4,confirmation,4.0,drift,pooled,,,3200,20,0.55375,0.4771875,0.6209375,0.0046875,0.001875,0.0078125,0.008465011286681716,0.00325724066785843,0.016029751279116763,0.6688237533307956,0.5953323274907676,0.7328402972449615,0.02617801047120419,0.012421718597607925,0.0387607153111029,0.8209375,0.7815468750000001,0.8590625,0.9725,0.799375,0.0025
output-boba,confirm_k4,confirmation,4.0,gaussian,cell,0.05,0.0,400,20,0.9275,0.8775,0.9725,0.0025,0.0,0.0075,0.0026954177897574125,0.0,0.008571428571428572,0.9585492227979274,0.9170932364666824,0.9948051948051948,0.07142857142857142,0.0,0.18181818181818182,0.965,0.9375,0.99,0.9725,0.96,0.0025
output-boba,confirm_k4,confirmation,4.0,gaussian,cell,0.05,20.0,400,20,0.9025,0.805,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.9352331606217616,0.8616743197763961,0.9872773536895675,0.0,0.0,0.0,0.965,0.935,0.99,0.9725,0.965,0.0
output-boba,confirm_k4,confirmation,4.0,gaussian,cell,0.25,0.0,400,20,0.7925,0.6599375000000001,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.8298429319371727,0.7100735036240355,0.9264005975711623,0.0,0.0,0.0,0.955,0.9274375,0.98,0.9725,0.925,0.0025
output-boba,confirm_k4,confirmation,4.0,gaussian,cell,0.25,20.0,400,20,0.7925,0.6699375000000001,0.9025,0.0025,0.0,0.0075,0.0031545741324921135,0.0,0.01056338028169014,0.8293963254593176,0.7181553796920949,0.9234742561146595,0.05263157894736842,0.0,0.11764705882352941,0.9525,0.9174375,0.985,0.9725,0.94,0.0
output-boba,confirm_k4,confirmation,4.0,gaussian,cell,1.0,0.0,400,20,0.4025,0.2675,0.54,0.0075,0.0,0.015,0.018633540372670808,0.0,0.04800967741935479,0.4579710144927536,0.31323902420828825,0.6005436654090309,0.05454545454545454,0.0,0.11291083384053556,0.8625,0.8,0.9175,0.9725,0.7875,0.0025
output-boba,confirm_k4,confirmation,4.0,gaussian,cell,1.0,20.0,400,20,0.46,0.315,0.61,0.0025,0.0,0.0075,0.005434782608695652,0.0,0.021432425488180862,0.5198863636363636,0.3713450292397661,0.6648955495004539,0.020833333333333332,0.0,0.06976744186046512,0.88,0.8075,0.945,0.9725,0.84,0.0025
output-boba,confirm_k4,confirmation,4.0,gaussian,cell,5.0,0.0,400,20,0.0675,0.045,0.0925,0.005,0.0,0.0125,0.07407407407407407,0.0,0.18518518518518517,0.10416666666666667,0.06866952789699571,0.1446280991735537,0.0125,0.0,0.03125491352201255,0.6,0.56,0.6375624999999996,0.9725,0.52,0.0175
output-boba,confirm_k4,confirmation,4.0,gaussian,cell,5.0,20.0,400,20,0.1325,0.0775,0.1925,0.0025,0.0,0.0075,0.018867924528301886,0.0,0.07147212543553982,0.2157676348547718,0.14062001329787235,0.28846153846153844,0.006289308176100629,0.0,0.019736842105263157,0.6025,0.51,0.6975,0.9725,0.555,0.01
output-boba,confirm_k4,confirmation,4.0,gaussian,pooled,,,3200,20,0.5596875,0.4790546875,0.6325,0.0028125,0.0009375,0.005,0.005025125628140704,0.0015135654136599673,0.010101160234929556,0.6568374493180981,0.5796350742649592,0.7218181076869178,0.018480492813141684,0.0059520862800565765,0.03245469034008588,0.8478125,0.8081171875,0.8834375,0.9725,0.8115625,0.0046875
