dataset,acquisition,error_model,jitter_std,jitter_iteration,n_seeds
hicks_law,qnei,slip,0.4,0,5
hicks_law,qnei,slip,0.4,20,5
levy_10,logei,slip,0.01,0,5
levy_10,logei,slip,0.01,20,5
levy_10,logei,slip,0.05,0,5
levy_10,logei,slip,0.05,20,5
levy_10,logei,slip,0.15,0,5
levy_10,logei,slip,0.15,20,5
levy_10,logei,slip,0.4,0,5
levy_10,logei,slip,0.4,20,5
levy_10,qnei,slip,0.01,0,5
levy_10,qnei,slip,0.01,20,5
levy_10,qnei,slip,0.05,0,5
levy_10,qnei,slip,0.05,20,5
levy_10,qnei,slip,0.15,0,5
levy_10,qnei,slip,0.15,20,5
levy_10,qnei,slip,0.4,0,5
levy_10,qnei,slip,0.4,20,5
michalewicz,logei,slip,0.01,0,5
michalewicz,logei,slip,0.01,20,5
michalewicz,logei,slip,0.05,0,5
michalewicz,logei,slip,0.05,20,5
michalewicz,logei,slip,0.15,0,5
michalewicz,logei,slip,0.15,20,5
michalewicz,logei,slip,0.4,0,5
michalewicz,logei,slip,0.4,20,5
michalewicz,qnei,slip,0.01,0,5
michalewicz,qnei,slip,0.01,20,5
michalewicz,qnei,slip,0.05,0,5
michalewicz,qnei,slip,0.05,20,5
michalewicz,qnei,slip,0.15,0,5
michalewicz,qnei,slip,0.15,20,5
michalewicz,qnei,slip,0.4,0,5
michalewicz,qnei,slip,0.4,20,5
moving_peaks,logei,slip,0.01,0,5
moving_peaks,logei,slip,0.01,20,5
moving_peaks,logei,slip,0.05,0,5
moving_peaks,logei,slip,0.05,20,5
moving_peaks,logei,slip,0.15,0,5
moving_peaks,logei,slip,0.15,20,5
moving_peaks,logei,slip,0.4,0,5
moving_peaks,logei,slip,0.4,20,5
moving_peaks,qnei,slip,0.01,0,5
moving_peaks,qnei,slip,0.01,20,5
moving_peaks,qnei,slip,0.05,0,5
moving_peaks,qnei,slip,0.05,20,5
moving_peaks,qnei,slip,0.15,0,5
moving_peaks,qnei,slip,0.15,20,5
moving_peaks,qnei,slip,0.4,0,5
moving_peaks,qnei,slip,0.4,20,5
powell,logei,slip,0.01,0,5
powell,logei,slip,0.01,20,5
powell,logei,slip,0.05,0,5
powell,logei,slip,0.05,20,5
powell,logei,slip,0.15,0,5
powell,logei,slip,0.15,20,5
powell,logei,slip,0.4,0,5
powell,logei,slip,0.4,20,5
powell,qnei,slip,0.01,0,5
powell,qnei,slip,0.01,20,5
powell,qnei,slip,0.05,0,5
powell,qnei,slip,0.05,20,5
powell,qnei,slip,0.15,0,5
powell,qnei,slip,0.15,20,5
powell,qnei,slip,0.4,0,5
powell,qnei,slip,0.4,20,5
power_law_practice,logei,slip,0.01,0,5
power_law_practice,logei,slip,0.01,20,5
power_law_practice,logei,slip,0.05,0,5
power_law_practice,logei,slip,0.05,20,5
power_law_practice,logei,slip,0.15,0,5
power_law_practice,logei,slip,0.15,20,5
power_law_practice,logei,slip,0.4,0,5
power_law_practice,logei,slip,0.4,20,5
power_law_practice,qnei,slip,0.01,0,5
power_law_practice,qnei,slip,0.01,20,5
power_law_practice,qnei,slip,0.05,0,5
power_law_practice,qnei,slip,0.05,20,5
power_law_practice,qnei,slip,0.15,0,5
power_law_practice,qnei,slip,0.15,20,5
power_law_practice,qnei,slip,0.4,0,5
power_law_practice,qnei,slip,0.4,20,5
rastrigin,logei,slip,0.01,0,5
rastrigin,logei,slip,0.01,20,5
rastrigin,logei,slip,0.05,0,5
rastrigin,logei,slip,0.05,20,5
rastrigin,logei,slip,0.15,0,5
rastrigin,logei,slip,0.15,20,5
rastrigin,logei,slip,0.4,0,5
rastrigin,logei,slip,0.4,20,5
rastrigin,qnei,slip,0.01,0,5
rastrigin,qnei,slip,0.01,20,5
rastrigin,qnei,slip,0.05,0,5
rastrigin,qnei,slip,0.05,20,5
rastrigin,qnei,slip,0.15,0,5
rastrigin,qnei,slip,0.15,20,5
rastrigin,qnei,slip,0.4,0,5
rastrigin,qnei,slip,0.4,20,5
rosenbrock,logei,slip,0.01,0,5
rosenbrock,logei,slip,0.01,20,5
rosenbrock,logei,slip,0.05,0,5
rosenbrock,logei,slip,0.05,20,5
rosenbrock,logei,slip,0.15,0,5
rosenbrock,logei,slip,0.15,20,5
rosenbrock,logei,slip,0.4,0,5
rosenbrock,logei,slip,0.4,20,5
rosenbrock,qnei,slip,0.01,0,5
rosenbrock,qnei,slip,0.01,20,5
rosenbrock,qnei,slip,0.05,0,5
rosenbrock,qnei,slip,0.05,20,5
rosenbrock,qnei,slip,0.15,0,5
rosenbrock,qnei,slip,0.15,20,5
rosenbrock,qnei,slip,0.4,0,5
rosenbrock,qnei,slip,0.4,20,5
schwefel,logei,slip,0.01,0,5
schwefel,logei,slip,0.01,20,5
schwefel,logei,slip,0.05,0,5
schwefel,logei,slip,0.05,20,5
schwefel,logei,slip,0.15,0,5
schwefel,logei,slip,0.15,20,5
schwefel,logei,slip,0.4,0,5
schwefel,logei,slip,0.4,20,5
schwefel,qnei,slip,0.01,0,5
schwefel,qnei,slip,0.01,20,5
schwefel,qnei,slip,0.05,0,5
schwefel,qnei,slip,0.05,20,5
schwefel,qnei,slip,0.15,0,5
schwefel,qnei,slip,0.15,20,5
schwefel,qnei,slip,0.4,0,5
schwefel,qnei,slip,0.4,20,5
shekel,logei,slip,0.01,0,5
shekel,logei,slip,0.01,20,5
shekel,logei,slip,0.05,0,5
shekel,logei,slip,0.05,20,5
shekel,logei,slip,0.15,0,5
shekel,logei,slip,0.15,20,5
shekel,logei,slip,0.4,0,5
shekel,logei,slip,0.4,20,5
shekel,qnei,slip,0.01,0,5
shekel,qnei,slip,0.01,20,5
shekel,qnei,slip,0.05,0,5
shekel,qnei,slip,0.05,20,5
shekel,qnei,slip,0.15,0,5
shekel,qnei,slip,0.15,20,5
shekel,qnei,slip,0.4,0,5
shekel,qnei,slip,0.4,20,5
steering_law,logei,slip,0.01,0,5
steering_law,logei,slip,0.01,20,5
steering_law,logei,slip,0.05,0,5
steering_law,logei,slip,0.05,20,5
steering_law,logei,slip,0.15,0,5
steering_law,logei,slip,0.15,20,5
steering_law,logei,slip,0.4,0,5
steering_law,logei,slip,0.4,20,5
steering_law,qnei,slip,0.01,0,5
steering_law,qnei,slip,0.01,20,5
steering_law,qnei,slip,0.05,0,5
steering_law,qnei,slip,0.05,20,5
steering_law,qnei,slip,0.15,0,5
steering_law,qnei,slip,0.15,20,5
steering_law,qnei,slip,0.4,0,5
steering_law,qnei,slip,0.4,20,5
stevens,logei,slip,0.01,0,5
stevens,logei,slip,0.01,20,5
stevens,logei,slip,0.05,0,5
stevens,logei,slip,0.05,20,5
stevens,logei,slip,0.15,0,5
stevens,logei,slip,0.15,20,5
stevens,logei,slip,0.4,0,5
stevens,logei,slip,0.4,20,5
stevens,qnei,slip,0.01,0,5
stevens,qnei,slip,0.01,20,5
stevens,qnei,slip,0.05,0,5
stevens,qnei,slip,0.05,20,5
stevens,qnei,slip,0.15,0,5
stevens,qnei,slip,0.15,20,5
stevens,qnei,slip,0.4,0,5
stevens,qnei,slip,0.4,20,5
weber_fechner,logei,slip,0.01,0,5
weber_fechner,logei,slip,0.01,20,5
weber_fechner,logei,slip,0.05,0,5
weber_fechner,logei,slip,0.05,20,5
weber_fechner,logei,slip,0.15,0,5
weber_fechner,logei,slip,0.15,20,5
weber_fechner,logei,slip,0.4,0,5
weber_fechner,logei,slip,0.4,20,5
weber_fechner,qnei,slip,0.01,0,5
weber_fechner,qnei,slip,0.01,20,5
weber_fechner,qnei,slip,0.05,0,5
weber_fechner,qnei,slip,0.05,20,5
weber_fechner,qnei,slip,0.15,0,5
weber_fechner,qnei,slip,0.15,20,5
weber_fechner,qnei,slip,0.4,0,5
weber_fechner,qnei,slip,0.4,20,5
yerkes_dodson,logei,slip,0.01,0,5
yerkes_dodson,logei,slip,0.01,20,5
yerkes_dodson,logei,slip,0.05,0,5
yerkes_dodson,logei,slip,0.05,20,5
yerkes_dodson,logei,slip,0.15,0,5
yerkes_dodson,logei,slip,0.15,20,5
yerkes_dodson,logei,slip,0.4,0,5
yerkes_dodson,logei,slip,0.4,20,5
yerkes_dodson,qnei,slip,0.01,0,5
yerkes_dodson,qnei,slip,0.01,20,5
yerkes_dodson,qnei,slip,0.05,0,5
yerkes_dodson,qnei,slip,0.05,20,5
yerkes_dodson,qnei,slip,0.15,0,5
yerkes_dodson,qnei,slip,0.15,20,5
yerkes_dodson,qnei,slip,0.4,0,5
yerkes_dodson,qnei,slip,0.4,20,5
