dataset,acquisition,seed,error_model,jitter_std,jitter_iteration,variant,budget,k,tolerance,extra,censored,multiplier
branin,logei,10,gaussian,0.05,0,rep10,50,10,0.01,0.0,False,1.0
branin,logei,10,gaussian,0.05,0,rep10,50,25,0.01,26.0,True,2.04
branin,logei,10,gaussian,0.25,0,rep10,50,10,0.01,0.0,False,1.0
branin,logei,10,gaussian,0.25,0,rep10,50,25,0.01,26.0,True,2.04
branin,logei,10,gaussian,1.0,0,rep10,50,10,0.01,0.0,False,1.0
branin,logei,10,gaussian,1.0,0,rep10,50,25,0.01,26.0,True,2.04
branin,logei,10,gaussian,5.0,0,rep10,50,10,0.01,0.0,False,1.0
branin,logei,10,gaussian,5.0,0,rep10,50,25,0.01,26.0,True,2.04
branin,logei,10,gaussian,0.05,20,rep10,50,10,0.01,0.0,False,1.0
branin,logei,10,gaussian,0.05,20,rep10,50,25,0.01,0.0,False,1.0
branin,logei,10,gaussian,0.25,20,rep10,50,10,0.01,0.0,False,1.0
branin,logei,10,gaussian,0.25,20,rep10,50,25,0.01,2.0,False,1.08
branin,logei,10,gaussian,1.0,20,rep10,50,10,0.01,0.0,False,1.0
branin,logei,10,gaussian,1.0,20,rep10,50,25,0.01,26.0,True,2.04
branin,logei,10,gaussian,5.0,20,rep10,50,10,0.01,0.0,False,1.0
branin,logei,10,gaussian,5.0,20,rep10,50,25,0.01,26.0,True,2.04
branin,logei,11,gaussian,0.05,0,rep10,50,10,0.01,4.0,False,1.4
branin,logei,11,gaussian,0.05,0,rep10,50,25,0.01,11.0,False,1.44
branin,logei,11,gaussian,0.25,0,rep10,50,10,0.01,8.0,False,1.8
branin,logei,11,gaussian,0.25,0,rep10,50,25,0.01,26.0,False,2.04
branin,logei,11,gaussian,1.0,0,rep10,50,10,0.01,40.0,True,5.0
branin,logei,11,gaussian,1.0,0,rep10,50,25,0.01,37.0,True,2.48
branin,logei,11,gaussian,5.0,0,rep10,50,10,0.01,-4.0,False,0.6
branin,logei,11,gaussian,5.0,0,rep10,50,25,0.01,37.0,True,2.48
branin,logei,11,gaussian,0.05,20,rep10,50,10,0.01,4.0,False,1.4
branin,logei,11,gaussian,0.05,20,rep10,50,25,0.01,7.0,False,1.28
branin,logei,11,gaussian,0.25,20,rep10,50,10,0.01,4.0,False,1.4
branin,logei,11,gaussian,0.25,20,rep10,50,25,0.01,7.0,False,1.28
branin,logei,11,gaussian,1.0,20,rep10,50,10,0.01,4.0,False,1.4
branin,logei,11,gaussian,1.0,20,rep10,50,25,0.01,7.0,False,1.28
branin,logei,11,gaussian,5.0,20,rep10,50,10,0.01,4.0,False,1.4
branin,logei,11,gaussian,5.0,20,rep10,50,25,0.01,7.0,False,1.28
branin,logei,7,gaussian,0.05,0,rep10,50,10,0.01,2.0,False,1.2
branin,logei,7,gaussian,0.05,0,rep10,50,25,0.01,10.0,False,1.4
branin,logei,7,gaussian,0.25,0,rep10,50,10,0.01,19.0,False,2.9
branin,logei,7,gaussian,0.25,0,rep10,50,25,0.01,19.0,False,1.76
branin,logei,7,gaussian,1.0,0,rep10,50,10,0.01,42.0,True,5.2
branin,logei,7,gaussian,1.0,0,rep10,50,25,0.01,42.0,True,2.68
branin,logei,7,gaussian,5.0,0,rep10,50,10,0.01,42.0,True,5.2
branin,logei,7,gaussian,5.0,0,rep10,50,25,0.01,42.0,True,2.68
branin,logei,7,gaussian,0.05,20,rep10,50,10,0.01,2.0,False,1.2
branin,logei,7,gaussian,0.05,20,rep10,50,25,0.01,10.0,False,1.4
branin,logei,7,gaussian,0.25,20,rep10,50,10,0.01,2.0,False,1.2
branin,logei,7,gaussian,0.25,20,rep10,50,25,0.01,10.0,False,1.4
branin,logei,7,gaussian,1.0,20,rep10,50,10,0.01,2.0,False,1.2
branin,logei,7,gaussian,1.0,20,rep10,50,25,0.01,10.0,False,1.4
branin,logei,7,gaussian,5.0,20,rep10,50,10,0.01,2.0,False,1.2
branin,logei,7,gaussian,5.0,20,rep10,50,25,0.01,10.0,False,1.4
branin,logei,8,gaussian,0.05,0,rep10,50,10,0.01,4.0,False,1.4
branin,logei,8,gaussian,0.05,0,rep10,50,25,0.01,4.0,False,1.16
branin,logei,8,gaussian,0.25,0,rep10,50,10,0.01,40.0,True,5.0
branin,logei,8,gaussian,0.25,0,rep10,50,25,0.01,40.0,True,2.6
branin,logei,8,gaussian,1.0,0,rep10,50,10,0.01,12.0,False,2.2
branin,logei,8,gaussian,1.0,0,rep10,50,25,0.01,12.0,False,1.48
branin,logei,8,gaussian,5.0,0,rep10,50,10,0.01,-2.0,False,0.8
branin,logei,8,gaussian,5.0,0,rep10,50,25,0.01,12.0,False,1.48
branin,logei,8,gaussian,0.05,20,rep10,50,10,0.01,6.0,False,1.6
