,,,,true_diff,true_diff,true_diff,true_diff,obs_diff,obs_diff,obs_diff,obs_diff
composite,qei,gaussian,0.5,0.1625,0.7965,0.1454,30,0.0839,0.8466,0.1546,30
composite,qei,gaussian,1.0,0.0776,0.8837,0.1613,30,0.7366,1.0776,0.1968,30
composite,qei,gaussian,5.0,-0.0498,0.7331,0.1339,30,-1.7391,3.0106,0.5497,30
composite,qnei,bias,0.05,-0.2031,0.8195,0.1496,30,-0.0086,0.812,0.1482,30
composite,qnei,bias,0.5,-0.0322,0.83,0.1515,30,0.0602,1.0,0.1826,30
composite,qnei,bias,1.0,-0.0535,0.7079,0.1292,30,-0.005,1.0684,0.1951,30
composite,qnei,bias,5.0,-0.2941,0.8133,0.1485,30,1.8072,4.4894,0.8196,30
composite,qnei,gaussian,0.05,-0.2235,0.7578,0.1383,30,-0.2303,0.7566,0.1381,30
composite,qnei,gaussian,0.5,-0.013,0.7443,0.1359,30,-0.1541,0.8361,0.1527,30
composite,qnei,gaussian,1.0,-0.097,0.6365,0.1162,30,0.049,1.355,0.2474,30
composite,qnei,gaussian,5.0,-0.2123,0.8159,0.149,30,-0.2219,5.4977,1.0037,30
composite,qpi,bias,0.05,-0.0035,0.4345,0.0793,30,0.2058,0.436,0.0796,30
composite,qpi,bias,0.5,-0.2541,0.3667,0.067,30,0.0212,0.7167,0.1308,30
composite,qpi,bias,1.0,-0.4963,0.3866,0.0706,30,-0.3752,0.8609,0.1572,30
composite,qpi,bias,5.0,-0.6913,0.3598,0.0657,30,-0.8882,3.6947,0.6746,30
composite,qpi,gaussian,0.05,-0.1058,0.4985,0.091,30,-0.1024,0.492,0.0898,30
composite,qpi,gaussian,0.5,-0.2881,0.3915,0.0715,30,-0.3284,0.5819,0.1062,30
composite,qpi,gaussian,1.0,-0.457,0.2911,0.0532,30,-0.2854,1.2159,0.222,30
composite,qpi,gaussian,5.0,-0.48,0.2937,0.0536,30,0.2649,5.6218,1.0264,30
composite,qucb,bias,0.05,-0.0303,0.1141,0.0208,30,0.1396,0.115,0.021,30
composite,qucb,bias,0.5,-0.3175,0.3228,0.0589,30,-0.0434,0.5365,0.098,30
composite,qucb,bias,1.0,-0.5396,0.4338,0.0792,30,0.0374,0.7705,0.1407,30
composite,qucb,bias,5.0,-0.7472,0.534,0.0975,30,1.1648,4.3412,0.7926,30
composite,qucb,gaussian,0.05,-0.0404,0.1207,0.022,30,-0.0494,0.1204,0.022,30
composite,qucb,gaussian,0.5,-0.4322,0.3272,0.0597,30,-0.652,0.7375,0.1346,30
composite,qucb,gaussian,1.0,-0.5589,0.475,0.0867,30,-0.6196,0.9358,0.1709,30
composite,qucb,gaussian,5.0,-0.8798,0.5289,0.0966,30,-1.1395,5.6314,1.0281,30
composite,ucb,bias,0.05,-0.09,0.2524,0.0461,30,0.0978,0.2562,0.0468,30
composite,ucb,bias,0.5,-0.3561,0.4613,0.0842,30,-0.0568,0.7048,0.1287,30
composite,ucb,bias,1.0,-0.582,0.4339,0.0792,30,-0.8219,0.739,0.1349,30
composite,ucb,bias,5.0,-0.757,0.5561,0.1015,30,0.1132,5.1792,0.9456,30
composite,ucb,gaussian,0.05,-0.0263,0.1368,0.025,30,-0.0264,0.1446,0.0264,30
composite,ucb,gaussian,0.5,-0.4284,0.4569,0.0834,30,-0.3657,0.7522,0.1373,30
composite,ucb,gaussian,1.0,-0.5489,0.4954,0.0905,30,-0.3641,1.1648,0.2127,30
composite,ucb,gaussian,5.0,-0.9311,0.5478,0.1,30,-2.364,5.5135,1.0066,30
multi_objective,qehvi,bias,0.05,1.9891,47.0647,8.5928,30,693.0179,656.107,119.7882,30
multi_objective,qehvi,bias,0.5,-21.5617,33.9426,6.197,30,3096.0747,3301.6132,602.7893,30
multi_objective,qehvi,bias,1.0,-33.2896,55.7259,10.1741,30,6719.4294,6854.2738,1251.4135,30
multi_objective,qehvi,bias,5.0,-86.904,233.2261,42.5811,30,61355.9371,80365.8696,14672.7332,30
multi_objective,qehvi,gaussian,0.05,0.3507,22.8019,4.163,30,139.1578,147.7587,26.9769,30
multi_objective,qehvi,gaussian,0.5,-40.5876,65.8264,12.0182,30,2303.5418,2473.5674,451.6096,30
multi_objective,qehvi,gaussian,1.0,-28.0763,50.8741,9.2883,30,5369.3952,5737.1451,1047.4546,30
multi_objective,qehvi,gaussian,5.0,-82.4581,195.3294,35.6621,30,54344.9557,68824.2476,12565.531,30
multi_objective,qnehvi,bias,0.05,0.0,0.0,0.0,30,320.9681,410.0969,74.8731,30
multi_objective,qnehvi,bias,0.5,0.0,0.0,0.0,30,1364.6343,1534.5707,280.173,30
multi_objective,qnehvi,bias,1.0,0.0,0.0,0.0,30,3362.6054,3747.4634,684.1901,30
multi_objective,qnehvi,bias,5.0,0.0,0.0,0.0,30,39566.9764,58292.5974,10642.7235,30
multi_objective,qnehvi,gaussian,0.05,0.0,0.0,0.0,30,7.7667,57.406,10.4809,30
multi_objective,qnehvi,gaussian,0.5,0.0,0.0,0.0,30,913.3188,1073.2172,195.9418,30
multi_objective,qnehvi,gaussian,1.0,0.0,0.0,0.0,30,2797.1104,3491.1928,637.4017,30
multi_objective,qnehvi,gaussian,5.0,0.0,0.0,0.0,30,29476.7624,37229.8139,6797.203,30
