objective,acquisition,error_model,jitter_std,jitter_iteration,oracle_model,cohens_d_true,cohens_d_obs,n,interpretation_true,interpretation_obs
composite,logpi,gaussian,1.0,40,extra_trees,0.039773108532203755,-0.16652964174774143,10,negligible,negligible
composite,logpi,gaussian,5.0,10,extra_trees,-0.2676549918644214,-0.699324983926613,10,SMALL,MEDIUM
composite,logpi,gaussian,5.0,20,extra_trees,-0.21468799319628257,-0.10415046827020906,10,SMALL,negligible
composite,logpi,gaussian,5.0,40,extra_trees,-0.16555416579592414,0.5046817769849694,10,negligible,MEDIUM
composite,pi,bias,0.05,10,extra_trees,-0.09967534351461313,-0.0012509552132567105,10,negligible,negligible
composite,pi,bias,0.05,20,extra_trees,0.03543202498542808,0.1779198944756503,10,negligible,negligible
composite,pi,bias,0.05,40,extra_trees,-0.058264696685973345,0.05116202224162079,10,negligible,negligible
composite,pi,bias,0.5,10,extra_trees,-0.2539748797668933,-0.006446812410452594,10,SMALL,negligible
composite,pi,bias,0.5,20,extra_trees,-0.2997172212284017,-0.309677640867095,10,SMALL,SMALL
composite,pi,bias,0.5,40,extra_trees,-0.09893667852331552,0.037055790259441036,10,negligible,negligible
composite,pi,bias,1.0,10,extra_trees,-0.34834181574676637,0.045021473753261994,10,SMALL,negligible
composite,pi,bias,1.0,20,extra_trees,-0.13270263891768105,0.2456126806546464,10,negligible,SMALL
composite,pi,bias,1.0,40,extra_trees,-0.20865924399017033,-0.3590141206485201,10,SMALL,SMALL
composite,pi,bias,5.0,10,extra_trees,-0.4804165974136798,0.28275953924011704,10,SMALL,SMALL
composite,pi,bias,5.0,20,extra_trees,-0.2645981027660101,-1.5573812357424826,10,SMALL,LARGE
composite,pi,bias,5.0,40,extra_trees,-0.41653272277078585,-0.6083677028949096,10,SMALL,MEDIUM
composite,pi,gaussian,0.05,10,extra_trees,0.01433627213063015,-0.022155708546762062,10,negligible,negligible
composite,pi,gaussian,0.05,20,extra_trees,-0.05214406086149231,-0.03230728722849823,10,negligible,negligible
composite,pi,gaussian,0.05,40,extra_trees,-0.0538312075609759,-0.08419016650299752,10,negligible,negligible
composite,pi,gaussian,0.5,10,extra_trees,-0.2641507216449927,-0.14371410774811738,10,SMALL,negligible
composite,pi,gaussian,0.5,20,extra_trees,-0.15704478713944167,-0.05165446488564646,10,negligible,negligible
composite,pi,gaussian,0.5,40,extra_trees,-0.09844319368364686,-0.1222399494063191,10,negligible,negligible
